Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,1249,23.33949875831604,-0.03839337033591717,0.18753189943579293,0.28302866,-1.4119391,0.0030858216999625093,0.11229043048892239,-20.272727272727273,0.6165754402285145,-19.0,-21.0,902.5454545454545,10000,-21.0,0.0,-21.0,-21.0,767.6
2,3749,57.37421464920044,-0.06880791015625,0.3341622607415539,0.53637165,-1.3448365,0.000731951904296875,0.06597550048828126,-20.272727272727273,0.7496555288679834,-19.0,-21.0,864.5454545454545,20000,-20.3,0.45825755909014404,-20.0,-21.0,874.0
3,6249,90.76449680328369,-0.121506982421875,0.42440938683860274,1.0802631,-1.404803,0.0006472446441650391,0.074463427734375,-20.636363636363637,0.6428243771854778,-19.0,-21.0,909.0909090909091,30000,-20.5,0.5,-20.0,-21.0,827.4
4,8749,124.67191696166992,-0.1036134033203125,0.4320240307941142,1.5817864,-1.298625,0.0005343966960906982,0.07547609252929688,-19.636363636363637,1.149919128589981,-17.0,-21.0,949.5454545454545,40000,-18.5,2.3345235059857505,-14.0,-21.0,1090.8
5,11249,161.71096348762512,-0.06314867553710937,0.4031229711673753,1.8244431,-1.3197346,0.0006914715766906739,0.0897537353515625,-20.0,0.7745966692414834,-19.0,-21.0,988.0,50000,-16.7,1.8466185932351693,-13.0,-19.0,1775.0
6,13749,197.43579578399658,-0.046006832885742185,0.3847790210231468,1.9206998,-1.3845983,0.0005981805801391601,0.08524685668945313,-20.0,1.0,-18.0,-21.0,983.7,60000,-17.6,1.496663005685612,-15.0,-20.0,1586.7
7,16249,234.82802748680115,0.019824073791503905,0.4051193701880502,2.2281513,-1.4459821,0.000593429946899414,0.08411594848632813,-20.2,0.6000000119209289,-19.0,-21.0,981.7,70000,-16.5,1.746424919657298,-14.0,-20.0,1880.9
8,18749,271.6935670375824,0.12414862060546875,0.42292233999170875,2.6615603,-1.3282573,0.0006235244750976563,0.08705664672851562,-19.9,1.1357816523667863,-18.0,-21.0,999.9,80000,-16.3,1.5524175433438763,-14.0,-19.0,1918.6
9,21249,308.56926107406616,0.2548274658203125,0.4578806743181705,2.9127882,-1.2617232,0.0007077930450439453,0.0927205322265625,-19.8,0.748331502842806,-19.0,-21.0,1009.6,90000,-16.8,2.4819346984584647,-13.0,-20.0,1930.9
10,23749,345.1819794178009,0.3219925048828125,0.4822731362305882,2.76713,-1.3569431,0.000784464168548584,0.09754210815429687,-19.9,0.5385164674314846,-19.0,-21.0,990.6,100000,-15.6,1.4282857391250152,-13.0,-18.0,2008.6
11,26249,383.22641134262085,0.42267353515625,0.4839455757753138,2.5827413,-1.3043854,0.0007504312515258789,0.09562862548828124,-20.363636363636363,0.8813963108855153,-19.0,-21.0,918.7272727272727,110000,-15.3,2.0024984013507,-11.0,-18.0,2124.9
12,28749,421.7795000076294,0.51776103515625,0.4858038401389495,2.5739017,-1.4206766,0.0008481489181518555,0.1010605712890625,-19.22222222222222,1.4740554543928548,-17.0,-21.0,1075.0,120000,-14.7,2.6851442880061605,-10.0,-18.0,2099.5
13,31249,461.5260262489319,0.63298076171875,0.4843732358838843,2.6628993,-1.2453684,0.0008436952590942382,0.10084493408203125,-20.0,0.7745966692414834,-19.0,-21.0,1000.6,130000,-16.4,1.4282856723544584,-14.0,-18.0,2604.7
14,33749,500.29927611351013,0.70265654296875,0.48796907520802485,2.7338524,-1.2548487,0.0008247760772705079,0.09954848022460938,-19.8,0.748331502842806,-19.0,-21.0,1043.4,140000,-11.7,2.4103942852470346,-9.0,-16.0,2705.2
15,36249,541.2596387863159,0.7979728515625,0.515930236358621,2.7316651,-1.4484643,0.0008422176361083984,0.10030422973632812,-20.4,0.6633249652596706,-19.0,-21.0,985.2,150000,-11.6,2.4979992299013807,-6.0,-14.0,2819.2
