Epoch,PolicyUpdates,Time (second),AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LossPi,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,4999,34.61703634262085,7.960947658281657,6.253888318383993,40.108723,-7.9655695,7.960835917183437,6.244265973395857,41.168438,-7.1296687,-9.3570131177471,0.07409229648664108,0.708538973419684,19.597969825114678,19.75049899207055,194.4446,4.716698,22.912844036697248,10000,15.779057820638021,0.7824205504882491,17.151558,15.095417,13.3
2,14999,101.36171507835388,43.48305,23.259988177125113,119.42204,-51.427208,43.4867375,23.200271550134925,116.255615,-55.622494,-48.3193875,0.7249220703125,2.8655671875,137.67464671415442,63.188749114900844,193.93616,11.067078,73.38235294117646,20000,158.33059895833333,4.83734013887184,165.04974,144.74448,82.6
3,24999,168.81531023979187,82.04645625,33.93578052734311,144.94891,-49.631977,82.04558125,33.88885362475396,146.57468,-53.536522,-88.0320875,1.21435390625,3.856818359375,183.09505208333334,45.65168821527592,297.07413,41.030296,94.5047619047619,30000,258.0604654947917,14.132573674737202,281.91232,226.74641,143.26666666666668
4,34999,236.03166484832764,100.09344375,42.45630930733382,158.3834,-60.684624,100.0835125,42.43384262590415,160.74107,-82.98944,-106.1663,0.703075244140625,3.747739453125,260.04923396915586,47.30338237130864,398.1527,189.78864,129.27272727272728,40000,287.4640625,8.686638146697874,306.42252,276.1691,128.23333333333332
5,44999,304.10212206840515,109.75865,43.71628072011616,175.9956,-143.23944,109.7466,43.72025617491279,176.4677,-165.1504,-115.6235,0.573487890625,3.974541796875,381.9476207386364,89.25281699144902,619.19995,244.02206,181.8,50000,438.8271158854167,42.05781301276454,516.40704,369.25525,201.0
6,54999,371.7815749645233,121.1365875,45.89889105414204,185.98187,-228.90404,121.1336875,45.91178715754811,186.28426,-239.35025,-126.571675,0.534741064453125,3.946745703125,330.967529296875,64.30137248851108,540.8227,249.26286,158.625,60000,308.2337239583333,14.051108233094107,360.4837,295.13245,154.4
7,64999,440.2114517688751,130.50035,49.77285404716109,204.34654,-184.87291,130.49285,49.77730607415391,205.05316,-192.48431,-135.466525,0.4559568359375,3.67223828125,315.51341145833334,29.10658484346798,415.85458,260.83618,133.01333333333332,70000,375.12451171875,23.775356529924004,414.92523,336.48135,157.13333333333333
8,74999,511.0919990539551,137.2114125,53.19468582480773,223.39091,-277.06085,137.2038125,53.17877960239404,221.30063,-194.61635,-141.62565,0.43708037109375,3.576973046875,385.5026041666667,93.22240431713112,556.37994,60.947433,157.85714285714286,80000,545.1058268229167,51.208949514871584,607.03595,469.8752,200.7
9,84999,582.4719631671906,145.8245125,57.12176292797693,224.46107,-185.91418,145.8078125,57.134782750965286,220.24405,-195.40875,-150.0647625,0.45995,3.70430703125,334.6215424408784,122.0089163777618,589.35443,114.2758,136.05405405405406,90000,277.46966145833335,8.898252988648952,295.70877,240.3247,126.16666666666667
10,94999,654.8243763446808,151.3518125,60.78929511024124,238.88431,-185.73407,151.340775,60.7905650574166,241.10667,-186.78148,-155.5812125,0.502431982421875,3.905140625,311.05787136130135,176.85301729410045,964.4768,11.313878,134.6027397260274,100000,732.59765625,63.91258475123138,828.80444,614.1533,281.3333333333333
