Epoch,PolicyUpdates,Time (second),AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LossPi,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,4999,27.359541416168213,8.039309424384877,6.475677281508927,43.32494,-9.120944,8.03713477070414,6.481643731808561,42.946285,-9.297956,-9.644868103491396,0.07801092689240974,0.7653479426354021,19.489327728060047,18.30416445756559,175.8101,5.123922,23.07621247113164,10000,69.2753173828125,4.874693875604844,79.77509,62.411068,39.0
2,14999,79.22706413269043,39.56674375,20.710859470335848,100.70928,-19.693838,39.567203125,20.661263272123513,100.6681,-22.495073,-43.418715625,0.43793984375,2.1806822265625,181.59761974299064,23.879284124118417,223.20439,77.73734,93.14018691588785,20000,189.30613606770834,6.613063822351148,200.8852,177.386,96.1
3,24999,131.28582119941711,72.1756125,29.70305203173573,133.29604,-44.77317,72.172675,29.662191422752297,136.14915,-31.986153,-77.13515,0.2404203125,2.5502265625,197.89122023809523,15.061324914645585,230.30049,149.94408,95.16190476190476,30000,201.30924479166666,1.0835790697793435,203.58754,198.488,99.33333333333333
4,34999,183.48703408241272,93.18336875,38.41765739864939,153.44504,-72.32278,93.19440625,38.38766468541685,155.65996,-74.679634,-98.4556875,0.2913548095703125,2.70299609375,208.28126953125,29.385915525128702,228.12001,46.19941,100.08,40000,228.45143229166666,5.420735088203847,236.61763,218.965,119.16666666666667
5,44999,237.4305009841919,105.29365,43.84473286496338,205.22874,-174.16661,105.2979,43.824541070044305,216.2096,-181.2867,-110.51365,0.3924394775390625,3.0272837890625,157.46519252232142,74.14244479740141,333.27026,16.85203,89.55357142857143,50000,147.05183919270834,132.30807641007155,498.59863,25.217295,146.5
6,54999,289.93934869766235,120.5087625,48.27665274229356,198.88394,-107.14793,120.50265,48.2876278150004,197.87685,-97.72197,-125.251075,0.589624267578125,4.037565625,290.01194852941177,107.81884145885363,592.16345,43.684834,146.13235294117646,60000,262.48369140625,5.115412780672413,278.10623,252.9974,131.0
7,64999,343.1415445804596,128.5750625,51.02363961929803,192.89374,-130.23259,128.57835,51.02092511901367,195.22997,-113.68238,-133.1743125,0.5378994140625,3.713887890625,336.72643008474574,48.28651906825355,449.46826,167.56514,169.23728813559322,70000,330.07965494791665,10.160021735541054,345.8916,304.33478,155.4
8,74999,399.01156520843506,129.7099375,51.90828257609762,195.30148,-76.08307,129.7170875,51.90670091616303,196.04625,-88.40731,-134.04065,0.458397509765625,3.377733203125,321.45770263671875,32.02673367550732,378.31113,270.9184,156.0625,80000,257.389208984375,3.3670359896790933,264.0153,246.95444,117.66666666666667
9,84999,455.7792410850525,129.3255625,51.95308845487436,196.78308,-117.38101,129.339575,51.963556460273196,196.49574,-113.06406,-133.2810375,0.402387744140625,3.142444921875,293.2776738556338,33.85984504563015,368.73367,182.34286,140.46478873239437,90000,393.37194010416664,49.519206606292336,521.04865,335.99692,180.46666666666667
10,94999,512.0801479816437,126.7063125,51.10254396798656,204.93617,-315.83743,126.7146625,51.117560583423774,207.86607,-358.41876,-130.0052,0.357229248046875,2.9101818359375,352.1510712594697,100.5502192484387,736.56067,171.86836,151.63636363636363,100000,244.86809895833332,49.96358309225497,341.4875,179.63245,109.36666666666666
