Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,999,5.32399320602417,1.4357021816738613,0.5056547862055865,2.604556,0.0076886714,0.03580247651826631,0.17431432897741492,19.79,11.69726029621894,90.0,8.0,19.79,2000,9.333333333333334,0.7453559782833924,11.0,8.0,9.333333333333334
2,2999,15.088119506835938,3.873925048828125,1.2692721851056268,7.703457,-0.30521443,0.027423709869384767,0.3536695556640625,92.42105263157895,122.33831972723922,500.0,15.0,92.42105263157895,4000,400.2,91.92293534078787,500.0,228.0,400.2
3,4999,24.787757635116577,7.40256005859375,2.2917590772087606,13.309798,-4.0224147,0.03568188095092773,0.4053326110839844,274.7142857142857,94.45741730026135,383.0,79.0,274.7142857142857,6000,378.23333333333335,59.605191940383854,500.0,289.0,378.23333333333335
4,6999,34.435930490493774,11.1504072265625,3.2040402655768077,18.955757,-3.885438,0.0597508773803711,0.4992396240234375,351.3333333333333,55.75441990140034,426.0,270.0,351.3333333333333,8000,393.26666666666665,70.46887610853462,500.0,286.0,393.26666666666665
5,8999,44.73236298561096,14.9451611328125,4.192383346618007,24.55821,-4.12316,0.08817986297607422,0.6231695556640625,340.3333333333333,74.71204269002867,451.0,204.0,340.3333333333333,10000,268.3,81.48094102303925,500.0,185.0,268.3
6,10999,54.67618989944458,18.407748046875,5.2399084557843185,30.158712,-4.9177914,0.12090044403076172,0.7446614990234375,308.7142857142857,47.44233753331511,386.0,258.0,308.7142857142857,12000,273.8666666666667,72.91946899376966,500.0,193.0,273.8666666666667
7,12999,64.78718519210815,21.5394375,6.419568168401205,34.356087,-5.9886913,0.1537541046142578,0.8269939575195312,295.8333333333333,31.114930757043716,359.0,267.0,295.8333333333333,14000,339.46666666666664,61.074124618504904,500.0,259.0,339.46666666666664
8,14999,74.67814087867737,24.48994140625,7.5856121518800315,38.84427,-6.999113,0.15370594787597655,0.8796727294921876,314.2857142857143,58.98598832940267,436.0,243.0,314.2857142857143,16000,299.9,48.83124106723755,452.0,238.0,299.9
9,16999,84.40455436706543,27.34871875,8.694358803270084,42.588184,-6.9821844,0.1309524841308594,0.8909148559570312,258.42857142857144,72.52557661537656,377.0,141.0,258.42857142857144,18000,179.33333333333334,39.397405992759644,262.0,116.0,179.33333333333334
10,18999,94.04438042640686,29.967650390625,9.90060446386987,45.307278,-7.7943006,0.13277572631835938,0.9017593383789062,136.9375,44.66887723852033,254.0,43.0,136.9375,20000,111.36666666666666,7.180916085488182,131.0,102.0,111.36666666666666
11,20999,103.68534970283508,32.5544375,11.247271196828144,48.431656,-8.640237,0.13887022399902343,0.914493896484375,105.36842105263158,12.587422499500088,121.0,58.0,105.36842105263158,22000,113.4,5.941941526813682,125.0,102.0,113.4
12,22999,113.32869863510132,34.92428125,12.437891325502084,51.023296,-8.63426,0.07540939331054687,0.8999067993164063,109.72222222222223,4.3564200038688305,121.0,102.0,109.72222222222223,24000,114.86666666666666,4.876701592724243,125.0,105.0,114.86666666666666
13,24999,123.0932183265686,37.3048984375,13.576109531084375,53.478123,-9.901018,0.0608037338256836,0.9039866943359375,112.16666666666667,5.3150730658591145,122.0,103.0,112.16666666666667,26000,115.7,5.01431280699881,123.0,104.0,115.7
14,26999,132.80886125564575,39.58844140625,14.547103448796946,55.915585,-10.39733,0.05966077423095703,0.882036865234375,108.5,21.85368008673444,120.0,20.0,108.5,28000,115.9,3.4190642589604896,124.0,110.0,115.9
15,28999,142.44899892807007,41.27166015625,15.586118623634302,57.791412,-10.081341,0.057037147521972656,0.8658736572265625,114.55555555555556,4.924115761148226,123.0,107.0,114.55555555555556,30000,121.7,4.458325727699899,131.0,113.0,121.7
16,30999,152.10468220710754,43.29183984375,16.54404349002988,60.27407,-10.422522,0.05676376342773438,0.8512113647460937,114.11764705882354,21.29037915855595,128.0,31.0,114.11764705882354,32000,124.0,7.5099933422074345,137.0,111.0,124.0
17,32999,161.77365040779114,45.32202734375,17.37604763028693,62.95198,-10.572705,0.06315507507324218,0.8567313232421875,114.22222222222223,28.799220020422812,135.0,17.0,114.22222222222223,34000,127.13333333333334,4.793977307463936,136.0,118.0,127.13333333333334
18,34999,171.70674872398376,46.96109765625,18.414516182892235,65.29942,-11.170875,0.05931963348388672,0.8480943603515625,123.8125,7.843936750764886,137.0,112.0,123.8125,36000,130.86666666666667,7.022503819567016,144.0,118.0,130.86666666666667
19,36999,181.50674772262573,48.27478125,19.17318521399092,67.3723,-11.474687,0.05676827239990234,0.82874365234375,127.75,4.710360920354193,135.0,119.0,127.75,38000,133.93333333333334,3.8981481084138156,142.0,127.0,133.93333333333334
20,38999,191.199866771698,49.62964453125,19.85297049562105,69.949585,-11.563631,0.05472938919067383,0.8087247924804688,132.66666666666666,8.030497593646517,151.0,122.0,132.66666666666666,40000,137.5,4.876815901111435,146.0,129.0,137.5
21,40999,200.86562752723694,50.61324609375,20.689555033881227,72.223495,-11.747713,0.052384765625,0.7920952758789063,128.26666666666668,9.739723985169789,147.0,115.0,128.26666666666668,42000,139.23333333333332,8.277211082683083,149.0,123.0,139.23333333333332
22,42999,210.54184889793396,51.67748828125,21.380869077284956,74.15046,-11.3168,0.05187798309326172,0.779769287109375,135.26666666666668,7.809964953289777,149.0,122.0,135.26666666666668,44000,139.43333333333334,4.917203677748517,149.0,127.0,139.43333333333334
23,44999,220.23741626739502,52.32254296875,22.352701878072814,76.996544,-11.866249,0.051330055236816406,0.7690397338867188,140.07142857142858,8.915991207083994,154.0,125.0,140.07142857142858,46000,146.0,4.732863826479693,156.0,139.0,146.0
24,46999,229.946124792099,53.61350390625,22.96805934335768,79.04527,-12.544745,0.048331199645996095,0.751022216796875,146.92857142857142,4.78784590954466,159.0,142.0,146.92857142857142,48000,147.76666666666668,4.529041757180127,157.0,140.0,147.76666666666668
25,48999,239.65380811691284,54.5296015625,23.64481047714276,81.29354,-10.995063,0.04651945114135742,0.7416707153320312,155.69230769230768,11.585033996295069,184.0,139.0,155.69230769230768,50000,158.43333333333334,4.447346396893133,166.0,148.0,158.43333333333334
26,50999,249.37340712547302,55.44404296875,24.344365364494514,83.219406,-10.6621065,0.046058380126953125,0.74194677734375,156.75,5.47912705942592,166.0,148.0,156.75,52000,165.9,5.306285811004993,177.0,157.0,165.9
27,52999,259.2229337692261,56.68769921875,25.01640336858998,85.45937,-10.787917,0.04669524383544922,0.74309716796875,159.15384615384616,29.829891315011267,180.0,59.0,159.15384615384616,54000,172.56666666666666,4.558386996346793,185.0,165.0,172.56666666666666
28,54999,269.02550435066223,57.97980859375,25.543809181482704,88.4372,-11.722888,0.044962020874023435,0.7382787475585938,173.41666666666666,8.864332495135203,189.0,161.0,173.41666666666666,56000,182.4,4.98397374625764,192.0,172.0,182.4
29,56999,278.88292813301086,58.866125,25.74397987879885,89.74821,-12.529622,0.04521970367431641,0.7481102294921875,203.11111111111111,16.549215879429404,226.0,177.0,203.11111111111111,58000,220.1,4.422292291117008,234.0,213.0,220.1
30,58999,288.749000787735,59.29419921875,26.013217794036937,91.11092,-13.000212,0.046086181640625,0.7621444702148438,212.1,10.615555315123062,234.0,194.0,212.1,60000,205.03333333333333,4.686742777380483,214.0,193.0,205.03333333333333
31,60999,298.63191628456116,59.67991796875,26.418947982461376,93.16878,-13.688872,0.0457748908996582,0.7811159057617187,209.77777777777777,12.611967605731504,231.0,194.0,209.77777777777777,62000,214.83333333333334,7.920788828808209,228.0,200.0,214.83333333333334
32,62999,308.57675862312317,59.945828125,26.818191120953703,95.19551,-14.307862,0.04401222991943359,0.78001806640625,214.3,15.421089772309381,249.0,196.0,214.3,64000,203.43333333333334,8.666730831593403,221.0,187.0,203.43333333333334
33,64999,318.5281500816345,60.74719921875,27.166900816986836,96.438416,-14.38795,0.04344053268432617,0.7683077392578125,231.75,17.318703762117995,265.0,211.0,231.75,66000,224.13333333333333,12.392828986412196,246.0,185.0,224.13333333333333
34,66999,328.4904227256775,61.17671484375,27.61778638848523,97.68164,-14.909907,0.041158058166503905,0.7374180297851562,225.77777777777777,19.170450826619422,264.0,191.0,225.77777777777777,68000,216.76666666666668,12.745412522338512,238.0,189.0,216.76666666666668
35,68999,338.4192461967468,61.43603125,27.818313437374307,98.50558,-15.567634,0.040367530822753905,0.727215576171875,213.4,27.405108834565407,264.0,176.0,213.4,70000,163.33333333333334,6.456693235128341,181.0,149.0,163.33333333333334
36,70999,348.4438364505768,61.39676953125,28.24777978001103,99.41158,-16.151533,0.04002313995361328,0.7190640869140625,186.9,34.76046661169122,264.0,155.0,186.9,72000,182.93333333333334,25.109007140532924,281.0,156.0,182.93333333333334
37,72999,358.6114203929901,61.02329296875,28.87801499410927,100.42164,-17.18175,0.03888517379760742,0.7215770874023437,236.66666666666666,149.71899604852345,500.0,44.0,236.66666666666666,74000,296.6333333333333,145.13360224289895,500.0,145.0,296.6333333333333
38,74999,368.80775332450867,61.57066796875,28.884826250126554,101.24343,-18.302353,0.03796138381958008,0.7202381591796875,323.1666666666667,139.7085275001136,500.0,151.0,323.1666666666667,76000,418.73333333333335,104.06182557339011,500.0,173.0,418.73333333333335
39,76999,379.01515316963196,62.6724921875,28.84064839770424,101.35989,-17.987612,0.03694401550292969,0.7141309204101562,293.0,147.1092888200567,500.0,59.0,293.0,78000,444.73333333333335,89.76485775346609,500.0,230.0,444.73333333333335
40,78999,389.2063934803009,64.065796875,29.06946099431498,101.8008,-17.758486,0.03835401153564453,0.7342229614257813,450.5,63.38966792782559,500.0,345.0,450.5,80000,492.2,23.810922410559122,500.0,408.0,492.2
41,80999,399.50407576560974,65.45345703125,29.636688622381552,102.20523,-17.02978,0.038145572662353515,0.7200906982421875,402.8,124.94703252778754,500.0,197.0,402.8,82000,344.6,75.08244080120642,500.0,225.0,344.6
42,82999,409.7126178741455,67.2918359375,29.775243491867535,102.46399,-17.278162,0.03664163970947266,0.7040051879882813,397.8,125.17252469092409,500.0,243.0,397.8,84000,418.4,103.31847507424152,500.0,219.0,418.4
43,84999,419.924400806427,68.57028125,30.195223132144594,102.79574,-17.98532,0.034902645111083985,0.6911395874023437,386.4,96.3423055762628,500.0,265.0,386.4,86000,486.4,33.56049419828816,500.0,383.0,486.4
