Epoch,PolicyUpdates,Time (second),AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LossPi,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,4999,23.658827781677246,7.5164548534706945,5.902172132120126,35.71249,-6.8390794,7.51694401380276,5.897655802841817,35.998146,-6.058501,-8.731871654911965,0.035159439724859035,0.7572104752981846,19.597969825114678,19.75049899207055,194.4446,4.716698,22.912844036697248,10000,59.82662760416667,1.1762584575439554,61.371475,58.03405,40.5
2,14999,63.896875619888306,37.71211875,20.104672342517798,120.35408,-20.612217,37.7194125,20.105243718990327,120.06154,-19.04293,-41.63553125,0.172409130859375,2.1807814453125,171.00714983258928,38.010173611693375,208.22316,10.080666,88.95535714285714,20000,204.94423828125,5.223293034134952,213.25952,196.16469,106.3
3,24999,103.8274438381195,72.3080625,30.775256294627344,148.54672,-54.24758,72.319025,30.77910167629978,146.3498,-50.463665,-76.99879375,0.35666328125,3.1193830078125,210.54043193247125,65.24265053073688,644.6044,141.20844,115.1264367816092,30000,201.22112630208332,5.983519575502086,213.36903,189.96555,101.53333333333333
4,34999,143.62164330482483,100.11275,39.45208739724681,176.1541,-51.672825,100.1141625,39.441748186407764,176.7241,-54.957314,-105.733025,0.5259015625,3.731009375,216.2755166330645,88.36913962866039,347.29596,15.786558,107.3225806451613,40000,220.56438802083332,2.536753056275312,225.91173,216.43246,101.6
5,44999,183.8656075000763,115.378875,47.00076382358057,181.68767,-56.48206,115.3652,47.017207488322825,182.96889,-75.24649,-120.4563625,0.48934033203125,3.456061328125,235.1258212002841,37.11099129255252,367.36566,179.54907,113.19318181818181,50000,275.87962239583334,23.222354896243477,306.34323,215.92009,129.03333333333333
6,54999,224.34237933158875,121.715425,53.79938661360369,199.24356,-73.71584,121.7129375,53.80549600180264,201.30734,-98.407455,-126.5100625,0.465037646484375,3.3853953125,305.85308837890625,36.93629043070311,404.9924,188.35419,155.5,60000,284.72119140625,11.85993287554782,314.62128,268.99164,156.43333333333334
7,64999,265.8947687149048,129.100825,57.39991289191997,239.73997,-120.40631,129.1141875,57.40505901050882,245.493,-190.16193,-133.76825,0.5211294921875,3.590738671875,224.96759100274724,78.56376898229422,560.59894,38.933968,111.01098901098901,70000,192.88702799479168,52.063562914319775,399.0478,152.30518,110.4
8,74999,307.05481457710266,138.8227625,59.36459214043334,245.52426,-111.77748,138.8461625,59.347235824425724,251.73952,-121.65343,-143.1504875,0.54566728515625,3.807992578125,339.40215773809524,70.6767948155321,571.2349,161.98015,157.8095238095238,80000,272.5255533854167,7.2560524417730345,303.42798,260.8214,126.73333333333333
9,84999,350.40566062927246,140.2980375,62.041247569661266,291.2583,-146.28854,140.3084375,62.00743181264646,297.3643,-153.0865,-144.0978125,0.49489384765625,3.6410390625,273.4758632330247,124.54859233187605,1154.1149,39.83447,122.58024691358025,90000,1327.0981770833334,179.69296151120295,1664.8807,805.0148,449.76666666666665
10,94999,392.10408329963684,143.3715125,61.74136700786597,294.52988,-88.156395,143.3810625,61.7081874632532,295.54944,-103.685555,-147.265775,0.500921533203125,3.695184375,411.20724051339283,234.51614321528365,1352.8107,268.39,181.28571428571428,100000,354.93024088541665,17.366194186431102,380.01102,319.99857,178.03333333333333
11,104999,435.1193091869354,149.726,63.469164166546264,300.8137,-112.82245,149.7313125,63.43911411739606,296.8639,-201.10527,-153.3301625,0.482331640625,3.619209765625,491.64149767287233,305.03815596699485,1916.6354,41.018368,208.31914893617022,110000,1096.030859375,58.97353087402856,1209.0582,920.49805,384.46666666666664
12,114999,481.3745810985565,156.328725,66.047479891363,299.03513,-238.4425,156.3375375,66.01677665563504,299.95718,-251.95566,-159.74975,0.55732314453125,3.738344140625,660.3466045673077,618.7548497608436,2563.1492,180.53748,257.15384615384613,120000,1700.0630208333334,646.964038155651,3067.2332,543.8336,566.9666666666667
13,124999,527.9789798259735,160.815075,66.58370971942011,299.59393,-173.50172,160.8321875,66.57588752694176,302.9706,-283.54498,-164.019,0.670596484375,4.059366015625,769.6954308712121,957.0395324471538,2928.3708,32.104042,290.8484848484849,130000,1733.778125,483.7620282742332,2955.445,380.7332,557.4666666666667
14,134999,574.6389462947845,165.1412625,67.43680893992538,291.63983,-142.03899,165.1511,67.4121621074417,294.77435,-132.88976,-168.2404625,0.641813525390625,4.056085546875,992.9452427455357,633.2424496194171,2695.4084,292.92023,348.14285714285717,140000,2774.7049479166667,16.30956680605103,2807.1638,2739.283,1000.0
15,144999,618.2166376113892,170.4612625,67.73986713893082,286.05505,-122.42314,170.468725,67.74004428696516,286.8565,-124.36313,-173.5591,0.62407138671875,3.92422734375,1296.8361328125,966.275685298973,2696.2695,220.4974,523.85,150000,421.0679036458333,146.62100378185932,596.408,284.31778,185.86666666666667
16,154999,664.3959112167358,176.27485,67.74209917030916,282.87558,-138.80861,176.28215,67.73890167400118,283.59808,-119.13281,-179.370475,0.65870283203125,3.995884765625,1536.4968133223683,816.7660555346826,2900.3235,287.08252,531.421052631579,160000,1548.1061197916667,375.1802011478395,2553.4102,1209.9525,489.53333333333336
17,164999,711.3046641349792,181.940275,68.12435100608299,286.47934,-117.08205,181.9419625,68.12319135213792,285.7539,-130.05806,-184.928125,0.61784453125,3.915051953125,1524.087109375,646.0491854340504,3216.1484,908.6273,486.8,170000,2804.3479166666666,107.247052212792,3014.9702,2495.5537,987.4333333333333
18,174999,758.2688038349152,186.701275,69.95175480286395,291.87262,-138.55356,186.7076625,69.94716863462023,291.783,-199.96205,-189.6028,0.599516259765625,3.84275,1750.7850477430557,462.6627041136748,2720.7532,1206.7465,567.6666666666666,180000,2902.8578125,21.996605443605763,2938.843,2855.2092,1000.0
19,184999,805.5622353553772,192.23345,71.54196530708393,298.0979,-132.00464,192.2457625,71.53582319369785,297.71423,-167.49869,-195.0062375,0.55750390625,3.723965234375,2210.6311848958335,792.0353264427878,2903.8115,743.6383,781.0833333333334,190000,2285.8567708333335,655.0218825861215,2787.5,903.31024,846.4
20,194999,852.926646232605,198.2119375,72.14553070010643,296.86786,-122.777565,198.2284,72.1422954999354,296.032,-145.64417,-200.8471625,0.531603271484375,3.619234375,2948.838068181818,163.55797206884392,3215.0427,2720.5115,991.9090909090909,200000,3228.6153645833333,7.476011169153113,3239.635,3205.8206,1000.0
21,204999,900.2682616710663,203.874875,72.56192389952184,306.0377,-152.49983,203.888575,72.5475595730139,307.13733,-149.7414,-206.54235,0.50235009765625,3.471788671875,3155.5609375,26.621493313674197,3194.0144,3116.858,1000.0,210000,3184.2596354166667,5.4172080058019745,3194.7478,3174.0344,1000.0
22,214999,947.5102634429932,209.3023,73.59309206712271,314.28223,-150.57396,209.3128125,73.57368279486899,313.73236,-173.36389,-212.07435,0.50425390625,3.407751953125,2433.134465144231,907.0293015367,3214.5684,929.1382,764.3076923076923,220000,3178.9666666666667,4.845235827217718,3191.4365,3165.2886,1000.0
23,224999,994.6600804328918,213.340425,74.6288362498036,316.06146,-150.70802,213.347425,74.60721412839378,317.21408,-158.8869,-215.994725,0.4958341796875,3.324292578125,2440.7364783653848,851.4045409249895,3190.672,976.4564,760.8461538461538,230000,3196.3098958333335,4.5548902899395305,3202.811,3184.9485,1000.0
24,234999,1042.0328271389008,216.7763,75.13309257577515,315.59338,-139.59045,216.78155,75.10994075353808,315.86884,-149.61583,-219.3811,0.487707958984375,3.2287083984375,2829.346768465909,610.2809151977026,3190.796,1108.1686,885.2727272727273,240000,3159.2677083333333,14.641231977812694,3188.658,3135.2905,1000.0
25,244999,1089.3860177993774,220.65825,75.16835504386138,314.16068,-188.70325,220.66255,75.15299594826543,313.85654,-168.06917,-223.2614,0.463488134765625,3.1435658203125,2977.690340909091,532.6974879200799,3185.1343,1294.5281,944.6363636363636,250000,2990.616145833333,431.95287165769986,3224.3848,1435.4119,934.1333333333333
26,254999,1136.7125895023346,223.80935,75.35848989994426,313.3437,-148.1865,223.81225,75.337188691907,314.00287,-207.18962,-226.3291,0.431548681640625,3.053598046875,2232.782784598214,776.7015422376124,3217.3325,1231.5105,692.7142857142857,260000,2807.222135416667,512.1768900162001,3320.7122,1643.6809,866.3
27,264999,1184.1137340068817,225.74585,75.65856197417448,315.57254,-134.15028,225.748,75.63741931081466,316.76712,-132.8566,-228.18515,0.44578720703125,3.046161328125,2575.517578125,900.8345205049224,3227.333,123.65049,812.0,270000,2997.32734375,267.7444988541626,3168.203,1957.1145,958.3333333333334
28,274999,1231.533620595932,227.3525,75.50438662753311,316.6896,-149.4782,227.359,75.48160835594324,318.05865,-163.17139,-229.6894,0.4300748046875,3.021523046875,2226.0934709821427,867.3313751304713,3173.4165,967.5646,696.8571428571429,280000,3161.47265625,18.927548265249076,3197.664,3123.843,1000.0
29,284999,1278.9604618549347,228.87325,75.6020952090615,318.14737,-191.83844,228.881625,75.57539811340725,320.33917,-195.29318,-231.116625,0.40361748046875,2.970962109375,2494.5857872596152,768.5727031322411,3165.7012,1104.8927,782.9230769230769,290000,3089.3182291666667,181.5984810876273,3154.1897,2114.4053,988.4
30,294999,1326.3596782684326,230.975025,75.7658498269504,319.11996,-197.97835,230.98205,75.73698171963285,320.17923,-155.64279,-233.2497,0.385723193359375,2.8893302734375,2864.8822798295455,595.8301885909807,3153.1877,1156.0546,912.8181818181819,300000,3126.084895833333,8.33765675608511,3145.4968,3109.6377,1000.0
31,304999,1373.903592824936,233.533975,75.54244899392658,321.0684,-191.16557,233.5379,75.51949946868028,321.79932,-177.2622,-235.718625,0.379550244140625,2.8338283203125,2923.838778409091,565.4139875106799,3143.3682,1136.9342,939.9090909090909,310000,3141.155729166667,8.140291349928377,3156.5886,3126.9856,1000.0
32,314999,1421.3260242938995,235.560725,75.41314739486742,321.09253,-199.82195,235.562925,75.38940774405911,322.4019,-147.1907,-237.787525,0.356413818359375,2.7658939453125,3102.8732421875,21.300680602755982,3133.628,3059.3262,1000.0,320000,3154.5716145833335,2.537407012388223,3160.2595,3149.496,1000.0
33,324999,1468.8193154335022,237.59545,75.04830444453758,321.54034,-241.71075,237.59945,75.03131079755971,321.34036,-303.48892,-239.7977,0.354326025390625,2.7258005859375,3100.747265625,21.32108858288842,3137.3938,3065.015,1000.0,330000,3150.633854166667,6.381608477320784,3159.0215,3138.3489,1000.0
34,334999,1516.2949194908142,239.287875,74.8223683132257,321.887,-131.71426,239.2921,74.80017379658953,322.69122,-146.35956,-241.51695,0.3416510498046875,2.6763189453125,3053.073828125,178.81371242161492,3129.152,2517.9556,979.1,340000,3209.9973958333335,5.669885117826371,3222.421,3195.4038,1000.0
35,344999,1563.8732533454895,241.005525,74.67585151841256,322.52072,-175.84346,241.007275,74.65117011808991,323.53168,-174.81262,-243.21475,0.3358375244140625,2.623037109375,2696.2347005208335,767.8456062256266,3176.9663,1167.3989,854.5,350000,3168.0455729166665,5.658821929076758,3178.6504,3153.5315,1000.0
36,354999,1611.6337296962738,242.68905,74.72372314064657,324.00513,-203.57741,242.689175,74.7042033623276,323.35687,-226.56648,-244.83115,0.3231846923828125,2.5789466796875,2691.9025065104165,714.692241457818,3189.6462,1140.9263,844.3333333333334,360000,2081.133854166667,812.5180203129856,3284.8245,1156.369,627.5
37,364999,1659.486038684845,244.489575,74.57205374669522,325.84363,-134.4771,244.48835,74.55594946079086,325.40012,-155.83913,-246.566175,0.3029517333984375,2.520480859375,2293.7486478365386,750.3173687488207,3205.1365,1156.5444,706.3076923076923,370000,2019.1708333333333,785.8062102070713,3282.2292,1092.3844,610.6333333333333
38,374999,1707.4303803443909,246.189075,74.44603683205709,324.93314,-252.18219,246.1888,74.42603307983035,324.43408,-195.52403,-248.2662,0.297907373046875,2.4936056640625,2375.151785714286,824.5279601947148,3190.9028,1085.2006,739.1428571428571,380000,2093.2962239583335,661.6662552475631,3201.395,1184.3551,633.3
39,384999,1754.8155117034912,247.72285,74.52689179081602,325.23953,-141.65219,247.7233,74.5059970740611,325.53207,-154.00752,-249.71035,0.2835754638671875,2.445351171875,2371.967097355769,828.6953137775809,3151.379,1148.3302,746.7692307692307,390000,3094.965625,20.571560345585926,3140.517,3043.0112,1000.0
40,394999,1802.2448301315308,249.132475,74.38674075398114,325.6956,-172.22458,249.131775,74.36879722033966,325.57602,-163.40033,-251.16495,0.271252783203125,2.3898337890625,3000.3941761363635,193.0052033566123,3139.0918,2505.1719,954.3636363636364,400000,3158.7151041666666,13.381059399428793,3187.7856,3137.485,1000.0
41,404999,1849.876254081726,250.3935,74.18889404755944,326.86905,-150.35321,250.39365,74.16952204241308,326.23627,-186.22543,-252.45425,0.27392158203125,2.3663029296875,2799.6125710227275,588.7423614636696,3165.0964,1579.0021,884.1818181818181,410000,3195.24296875,7.243380486512899,3208.4731,3181.1448,1000.0
42,414999,1897.2164142131805,252.0298,73.76596505164153,326.70874,-154.38057,252.030875,73.74653890183593,326.50632,-175.25964,-253.98955,0.27286181640625,2.331982421875,3169.9095703125,45.64495282887255,3274.4768,3100.861,999.4,420000,3217.04296875,9.763274717179938,3234.664,3187.1235,1000.0
43,424999,1944.6810245513916,253.606175,73.38269005698824,326.89252,-160.76225,253.607025,73.36693533193274,328.26984,-136.90215,-255.616975,0.25990625,2.27579453125,3058.014559659091,405.6903627824371,3245.9587,1778.0752,958.4545454545455,430000,3170.379947916667,3.6889051271053117,3177.5044,3162.5994,1000.0
44,434999,1992.0650136470795,254.66545,73.6071056352578,326.87775,-164.95168,254.666975,73.58613728142006,327.38025,-181.72076,-256.640375,0.260035595703125,2.259567578125,2510.6461588541665,805.9323534474424,3221.362,984.5843,776.5,440000,3190.80703125,18.38910226278733,3226.384,3164.098,1000.0
45,444999,2039.4556868076324,255.547475,73.60327981822549,326.62982,-168.64311,255.547325,73.58562903176136,327.5415,-157.03015,-257.4326,0.251365087890625,2.232972265625,2674.3986002604165,711.4773948154174,3223.8748,1246.185,830.5833333333334,450000,3024.30625,328.18526272010854,3332.8572,2009.5643,945.0333333333333
46,454999,2087.120492696762,255.8184,73.69896878518722,327.50842,-430.62866,255.81715,73.68476911818344,327.32635,-421.0494,-257.653375,0.2539325439453125,2.2315568359375,2839.8232421875,585.2540046851452,3212.1042,1144.6202,887.9166666666666,460000,2608.8341145833333,787.7321456772812,3245.4731,1293.3159,801.1666666666666
47,464999,2134.6916785240173,256.4719,73.33927733486334,328.1883,-189.51439,256.469075,73.32690638503713,329.58545,-205.24704,-258.3332,0.2492227294921875,2.2162646484375,2131.142578125,756.4786403682085,3262.81,1069.7953,650.5333333333333,470000,2983.446875,336.07277237725367,3254.7969,1814.3512,923.0333333333333
48,474999,2182.228031873703,256.94655,73.06568825378982,328.6846,-126.42026,256.944975,73.05187471927056,329.7788,-156.39783,-258.74875,0.250844189453125,2.2043546875,2348.7712053571427,859.2634719838347,3189.984,958.0099,732.5714285714286,480000,3101.99296875,25.24217468469189,3145.3364,3053.3867,1000.0
