Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,999,2.7101082801818848,1.3943802200638138,0.5110311295929724,2.517968,0.0076886714,0.025758094138449972,0.25152687172035315,19.79,11.69726029621894,90.0,8.0,19.79,2000,9.333333333333334,0.7453559782833924,11.0,8.0,9.333333333333334
2,2999,8.157577276229858,3.6954755859375,1.271044146619719,7.956464,0.169405,0.0178034725189209,0.4402423706054687,94.25,126.547570107055,500.0,9.0,94.25,4000,370.1,58.667619547185765,500.0,272.0,370.1
3,4999,13.50171947479248,7.27800048828125,2.3893910213954097,13.425088,-1.6905276,0.026007453918457032,0.485130615234375,341.3333333333333,79.98055183527431,500.0,265.0,341.3333333333333,6000,298.23333333333335,40.15111753841147,401.0,242.0,298.23333333333335
4,6999,18.899065017700195,11.0884462890625,3.3143417639291517,18.726046,-2.2649336,0.040056095123291016,0.5959608764648437,293.3333333333333,49.83194086857511,364.0,238.0,293.3333333333333,8000,308.53333333333336,65.32673489213025,500.0,230.0,308.53333333333336
5,8999,24.246126174926758,14.7274296875,4.464448760415444,23.929861,-3.6785479,0.05904598236083984,0.6996483154296875,301.2857142857143,75.39176696951542,405.0,210.0,301.2857142857143,10000,252.86666666666667,65.4455144726003,421.0,183.0,252.86666666666667
6,10999,29.601616859436035,18.11937109375,5.631588329181652,27.953867,-5.4085765,0.08358696746826172,0.8120809326171875,277.85714285714283,94.74391000028898,473.0,157.0,277.85714285714283,12000,239.6,76.35513244045877,435.0,161.0,239.6
7,12999,34.85733675956726,20.831177734375,7.101010601491875,30.860859,-10.836426,0.09884248352050781,0.87047314453125,225.9,62.07809786369908,323.0,129.0,225.9,14000,213.46666666666667,45.253901765483164,308.0,123.0,213.46666666666667
8,14999,40.01262879371643,23.42055859375,8.338672612442583,34.23829,-8.439448,0.0584195556640625,0.915806884765625,151.0,43.69650575714969,246.0,90.0,151.0,16000,119.83333333333333,22.418866305106732,169.0,96.0,119.83333333333333
9,16999,45.15563774108887,25.95115234375,9.714226841339459,38.4512,-7.0080605,0.06094281005859375,0.9366051635742187,108.94444444444444,22.391645684070927,154.0,70.0,108.94444444444444,18000,110.4,14.550142848131824,139.0,95.0,110.4
10,18999,50.309332847595215,28.462451171875,11.05210952714458,41.13885,-7.336944,0.05936996459960937,0.916621826171875,107.78947368421052,10.516047784180977,140.0,93.0,107.78947368421052,20000,114.96666666666667,11.25902090582536,137.0,102.0,114.96666666666667
11,20999,55.457563400268555,30.89287109375,12.208568968146922,43.98942,-8.568111,0.056383506774902344,0.876690673828125,108.16666666666667,6.166666666666667,120.0,94.0,108.16666666666667,22000,115.16666666666667,5.007217081412651,135.0,108.0,115.16666666666667
12,22999,60.61359143257141,32.7575078125,13.273352063438987,46.53299,-8.981905,0.05425977325439453,0.85401611328125,115.77777777777777,20.076397596466077,134.0,38.0,115.77777777777777,24000,122.6,8.167415081166924,138.0,111.0,122.6
13,24999,65.7771430015564,34.952765625,14.048384026285728,49.564373,-8.593057,0.061576026916503906,0.862705078125,125.5625,9.158116277379317,144.0,113.0,125.5625,26000,129.26666666666668,9.906002724306022,147.0,116.0,129.26666666666668
14,26999,71.05918669700623,36.95096875,14.788125515088112,52.572044,-8.274409,0.05458847045898438,0.8213095092773437,133.78571428571428,12.45092417033019,153.0,117.0,133.78571428571428,28000,139.83333333333334,12.61766881821876,160.0,120.0,139.83333333333334
15,28999,76.23264956474304,38.72084375,15.570879772029581,55.393204,-8.731779,0.04990995407104492,0.7881522827148437,132.625,12.746935906326666,158.0,120.0,132.625,30000,138.13333333333333,11.026433453321198,152.0,118.0,138.13333333333333
16,30999,81.42437982559204,40.39418359375,16.35315718752804,57.86273,-9.428487,0.045526969909667966,0.7640106201171875,131.93333333333334,10.00977305639968,150.0,120.0,131.93333333333334,32000,142.5,7.3337121114298816,152.0,124.0,142.5
17,32999,86.60683250427246,41.9437578125,17.08528881084543,60.54274,-10.209537,0.04484261703491211,0.7547125244140624,137.42857142857142,13.573684390175982,158.0,119.0,137.42857142857142,34000,146.83333333333334,12.699300495417717,160.0,122.0,146.83333333333334
18,34999,91.79074501991272,43.61196875,17.721943495282904,63.26844,-9.103062,0.044153221130371095,0.749105712890625,132.2,14.095862046108307,159.0,115.0,132.2,36000,146.06666666666666,10.243480364307745,158.0,125.0,146.06666666666666
19,36999,96.98993420600891,45.12112109375,18.30663131217756,66.02703,-9.555744,0.04307444763183594,0.7486607055664063,142.42857142857142,19.315848826909416,174.0,115.0,142.42857142857142,38000,148.26666666666668,14.299028753985064,167.0,122.0,148.26666666666668
20,38999,102.18701648712158,46.43773828125,18.93866910582684,68.4775,-9.0819435,0.044317413330078125,0.7510653076171875,145.5,15.660459763365825,165.0,119.0,145.5,40000,152.0,15.119523802024982,170.0,122.0,152.0
21,40999,107.39096784591675,47.6167578125,19.57303151021834,70.50122,-10.246458,0.043895782470703124,0.746828125,141.71428571428572,20.83756467446472,170.0,104.0,141.71428571428572,42000,155.76666666666668,16.394477919409326,175.0,122.0,155.76666666666668
22,42999,112.60416746139526,48.8193984375,20.299886083424212,73.05238,-8.857275,0.04350487899780273,0.7409210815429688,149.57142857142858,13.741045684209617,165.0,122.0,149.57142857142858,44000,160.06666666666666,7.949563298736918,187.0,136.0,160.06666666666666
23,44999,117.8258547782898,49.83403125,20.98786703073945,75.100815,-8.772633,0.04377648162841797,0.7334642944335937,153.84615384615384,7.262614075774771,162.0,136.0,153.84615384615384,46000,160.6,8.518998280650676,191.0,138.0,160.6
24,46999,123.05151295661926,50.73837890625,21.68999409289915,76.95199,-9.87717,0.04387774658203125,0.7379210205078125,154.46153846153845,11.098269833594731,169.0,132.0,154.46153846153845,48000,163.1,7.493774814474484,186.0,140.0,163.1
25,48999,128.29187178611755,51.67105859375,22.30846111904629,78.490555,-9.852415,0.04296831512451172,0.7326112060546875,163.16666666666666,11.013879977769575,178.0,134.0,163.16666666666666,50000,163.73333333333332,8.209480177127285,191.0,154.0,163.73333333333332
26,50999,133.56295824050903,52.53040234375,22.885966633507095,80.11612,-10.282897,0.041239555358886716,0.716730224609375,166.25,3.918439315169582,173.0,160.0,166.25,52000,169.86666666666667,10.889547038353838,225.0,158.0,169.86666666666667
27,52999,138.83088207244873,53.59351953125,23.3348599202995,81.31339,-10.739638,0.04147360229492188,0.7116868286132813,152.23076923076923,55.09733247329744,184.0,12.0,152.23076923076923,54000,172.23333333333332,4.038839099640695,180.0,164.0,172.23333333333332
28,54999,144.18544626235962,54.5971953125,23.70220322037595,82.275566,-10.987219,0.042449161529541014,0.7080369873046874,181.54545454545453,14.028305965184853,204.0,153.0,181.54545454545453,56000,168.23333333333332,4.176787594087086,176.0,158.0,168.23333333333332
29,56999,149.58109736442566,55.4652421875,24.11538927738883,83.334404,-11.341018,0.040592788696289066,0.693293212890625,187.4,11.499565315324151,205.0,169.0,187.4,58000,188.73333333333332,25.03322141633327,318.0,170.0,188.73333333333332
