Epoch,PolicyUpdates,Time (second),AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LossPi,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,4999,28.838260412216187,7.933185074514903,7.331636538240679,56.440487,-10.678923,7.929487459991998,7.338128226951,55.017643,-9.125736,-9.83032744347739,0.03464246316060087,0.7702742208597969,17.763218395653347,18.23597329983307,243.41736,4.196733,21.593952483801296,10000,39.129496256510414,0.9883167607256542,40.447716,37.02487,22.233333333333334
2,14999,74.16798901557922,48.13659375,25.68472016588851,126.71362,-27.699362,48.1362125,25.65181669979731,130.5907,-24.480967,-54.11395625,0.507865087890625,3.7422671875,121.71641845703125,65.2106742125091,188.00232,36.75363,62.2375,20000,178.58391927083332,2.8237629840581024,184.51279,173.66986,88.4
3,24999,119.40482449531555,90.69448125,37.79503274241206,174.86748,-39.483322,90.6993125,37.76104341778707,180.2997,-34.81796,-98.3185625,0.83658095703125,4.90837265625,190.96127485795455,43.956968239611136,402.69296,15.651381,90.88181818181818,30000,199.72848307291667,5.137945334383637,210.06068,189.75534,101.63333333333334
4,34999,164.45514607429504,121.3058125,46.82439962241908,212.39223,-103.75187,121.3054375,46.77942068901666,217.94258,-219.74173,-129.12675,0.93126591796875,5.115690234375,295.35668285472974,51.55009371632764,387.05164,191.60468,135.77027027027026,40000,327.58619791666666,3.2414441291371516,337.61435,321.58273,150.3
5,44999,209.59376120567322,142.368,55.9242737994871,224.29189,-90.62662,142.359675,55.88892018996252,225.83293,-96.18178,-149.748575,0.9759767578125,5.057944140625,331.195234375,42.832700222299,400.97922,233.0039,132.0,50000,386.52386067708335,14.51972325084917,397.21564,331.4271,134.26666666666668
6,54999,255.03104400634766,150.816675,62.153966888687,226.1192,-105.537285,150.7996375,62.133549713500194,229.88799,-234.60268,-157.780825,0.96261611328125,5.008154296875,348.48419024493245,44.0393184659566,408.46167,290.7188,135.9189189189189,60000,295.94837239583336,2.642283383492086,303.7975,291.41525,130.46666666666667
7,64999,300.67437291145325,154.187075,65.67836173352683,254.61238,-124.25399,154.1745875,65.65621371964728,254.08401,-139.95584,-160.4444625,0.8685830078125,4.64074296875,323.6494391025641,106.57162858486666,560.47144,27.12042,128.30769230769232,70000,285.63512369791664,41.97100933978119,321.86002,166.6055,121.2
8,74999,347.2805144786835,155.6448875,68.2838897544655,255.72787,-144.17506,155.635425,68.26659505204577,253.80508,-251.51154,-161.764925,1.0196068359375,5.00116875,358.9647871376812,101.69893762003356,591.4887,91.453,145.2753623188406,80000,385.3603515625,29.011839806505435,490.9976,343.98236,145.4
9,84999,394.64375400543213,151.0708625,62.886430968850505,253.52216,-140.24869,151.0570125,62.88731509613048,253.07782,-168.8198,-155.9719375,0.85478623046875,4.63476171875,553.4655949519231,105.03787091769843,724.07635,270.30093,188.3653846153846,90000,682.0606119791667,91.82279696059507,756.451,216.13867,219.7
10,94999,442.88643169403076,153.8735,60.89717234814766,266.66608,-220.66003,153.8589875,60.869999178577295,273.6166,-235.76208,-158.2884875,0.99279765625,5.10362109375,96.38224712171052,202.6807997293956,1154.3242,4.9295077,66.75,100000,183.33460286458333,301.15843006630246,897.2007,21.70092,107.0
11,104999,489.9708962440491,156.556725,62.356651609912475,256.5638,-317.57587,156.5482125,62.33028477393634,263.43323,-242.6989,-161.14905,0.9940498046875,5.19956328125,510.2950813137755,204.06605948234767,851.75964,22.173027,204.77551020408163,110000,479.3512369791667,65.2130542753264,557.5564,344.74667,163.63333333333333
12,114999,537.5528190135956,163.9303375,64.8191700039425,278.11606,-268.89917,163.917025,64.77766281674572,276.3818,-264.46698,-168.5966,0.8746404296875,4.8051203125,593.8958333333334,92.16713093348302,961.2599,423.0437,194.49019607843138,120000,689.2462239583333,29.886428906988872,743.39417,619.2075,228.86666666666667
13,124999,584.8861892223358,170.1738375,66.51952795984049,283.76083,-216.9151,170.1425375,66.48681974647306,284.4306,-173.75691,-174.498325,0.8977205078125,4.714707421875,508.9331140350877,172.49871598810194,859.9743,107.65339,174.08771929824562,130000,529.7999348958333,153.36205120563562,718.72485,321.41992,168.53333333333333
14,134999,633.063312292099,173.152675,68.32733274466375,284.89764,-261.12506,173.121775,68.31544188541855,285.49258,-239.43811,-177.195025,0.83463203125,4.607012109375,387.88000321061645,173.38986279638132,863.70996,130.83174,139.013698630137,140000,794.3595052083333,76.06191625358032,941.9397,617.7911,248.66666666666666
15,144999,680.6716938018799,176.5110875,70.59497432537249,292.02347,-314.23706,176.4843875,70.59716141602296,290.0414,-261.20374,-180.42605,0.780434033203125,4.528697265625,571.4558376736111,102.19226614210714,711.69324,319.33307,183.96296296296296,150000,612.0916015625,21.969810162897403,638.90356,553.54663,185.43333333333334
16,154999,730.7673327922821,178.9095625,71.84797004787261,292.2808,-367.75125,178.8871125,71.85336735324239,291.37213,-301.73477,-182.667525,0.77204345703125,4.443562890625,581.5508203125,141.08977638369126,1173.5406,173.58096,199.06,160000,880.1381510416667,265.97355758295475,1616.2123,330.18225,353.96666666666664
17,164999,779.0878584384918,181.393775,71.54920265104288,279.92755,-146.96101,181.371125,71.58710219026888,278.98026,-138.99236,-184.9627625,0.8092619140625,4.516174609375,788.6368815104166,179.4391048827181,1204.1372,326.01288,280.3611111111111,170000,841.7642578125,56.593076450068814,1029.6268,757.6803,264.96666666666664
