Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,1249,21.598340272903442,-0.0301273581120756,0.19001573168685315,0.36555696,-1.2428237,0.002726399297233197,0.09906635635656963,-20.272727272727273,0.6165754402285145,-19.0,-21.0,902.5454545454545,10000,-21.0,0.0,-21.0,-21.0,750.7
2,3749,53.49087429046631,-0.025138629150390626,0.3237997480781428,0.58697075,-1.2328398,0.0006447625160217285,0.06939994506835938,-20.1,1.0440306782946844,-18.0,-21.0,928.0,20000,-20.9,0.29999998609224926,-20.0,-21.0,781.2
3,6249,85.70838522911072,-0.09372867431640625,0.3791725385162324,1.1763003,-1.2504282,0.0005434857845306397,0.07207572021484375,-20.416666666666668,0.8620067641958319,-19.0,-21.0,889.5,30000,-20.7,0.45825755909014404,-20.0,-21.0,810.3
4,8749,118.67847681045532,-0.19796220703125,0.38086513617437473,1.7124676,-1.3138433,0.0004771571159362793,0.07055213012695312,-20.4,0.6633249652596706,-19.0,-21.0,939.5,40000,-19.4,1.3564660528696952,-16.0,-21.0,1110.3
5,11249,152.49790382385254,-0.181101025390625,0.37859847358279025,1.7494403,-1.2452447,0.0005703559398651123,0.07969874877929688,-20.181818181818183,0.7158188893794765,-19.0,-21.0,888.4545454545455,50000,-16.5,1.9621416870348585,-13.0,-20.0,1563.2
6,13749,190.65646195411682,-0.20416043701171874,0.3790001494475299,1.6668068,-1.4491888,0.000509661865234375,0.07637694702148437,-20.166666666666668,1.1426091464360717,-18.0,-21.0,907.4166666666666,60000,-15.5,2.0124611797498106,-11.0,-18.0,2218.9
7,16249,227.43044352531433,-0.2256933837890625,0.394379735758016,1.6907762,-1.5382512,0.0005036733627319336,0.07524928588867187,-20.272727272727273,0.9620913776495099,-18.0,-21.0,907.8181818181819,70000,-16.2,2.5219040879624735,-11.0,-20.0,1985.5
8,18749,262.43636107444763,-0.14018140869140625,0.37503912556308705,1.5519863,-1.3773868,0.00045132017135620116,0.07702598876953125,-19.444444444444443,1.1653431696851282,-17.0,-21.0,1058.2222222222222,80000,-17.5,1.5652475842498528,-16.0,-20.0,1672.4
9,21249,299.3721354007721,-0.07270521850585937,0.3833880240084776,1.7301915,-1.3457979,0.0004738783836364746,0.07840437622070312,-20.272727272727273,0.6165754402285145,-19.0,-21.0,920.1818181818181,90000,-17.5,1.4317821063276353,-15.0,-20.0,2016.7
10,23749,335.64273858070374,-0.004497594451904297,0.4263467431682295,2.0540588,-1.2949185,0.0004903195381164551,0.0802624267578125,-19.9,0.8306624207344756,-18.0,-21.0,975.4,100000,-16.0,1.5491933384829668,-14.0,-19.0,2295.0
11,26249,372.83207178115845,0.06129649658203125,0.43158616030814895,2.2867508,-1.3252355,0.0005189286231994629,0.08291275024414063,-20.454545454545453,0.6555547953912931,-19.0,-21.0,951.9090909090909,110000,-15.0,1.6733200530681511,-12.0,-18.0,2500.7
12,28749,410.98167157173157,0.1782771240234375,0.43426760700308686,2.2565734,-1.1807917,0.0005411104202270508,0.08436307983398438,-20.3,0.45825758510374354,-20.0,-21.0,961.0,120000,-15.4,2.87054004545972,-9.0,-19.0,2451.6
13,31249,449.29148864746094,0.26069150390625,0.4512249901093896,2.2307777,-1.2089031,0.0005932064056396485,0.088238037109375,-19.9,1.4456832822537204,-16.0,-21.0,969.3,130000,-14.5,1.91049731745428,-12.0,-18.0,2535.9
14,33749,486.1722276210785,0.3465282470703125,0.4577477289932059,2.312642,-1.2654649,0.0006206406593322754,0.08969132080078125,-19.90909090909091,1.378704660491239,-16.0,-21.0,970.9090909090909,140000,-16.0,1.6733200530681511,-13.0,-19.0,2053.3
15,36249,525.6205785274506,0.45142607421875,0.4524315275369026,2.3732028,-1.3165343,0.0006231961250305175,0.08990658569335938,-20.3,0.6403124535310653,-19.0,-21.0,957.8,150000,-12.8,2.925747741588825,-6.0,-17.0,2502.5
16,38749,561.9999973773956,0.4916962890625,0.4687210407721206,2.522079,-1.4475205,0.0006759641647338867,0.09227596435546875,-19.4,1.2806248325926792,-18.0,-21.0,1026.8,160000,-14.5,2.5787593916455256,-9.0,-18.0,2339.8
17,41249,601.1495008468628,0.549444091796875,0.4652136658384108,2.4424953,-1.4469546,0.0006876570224761963,0.09369639892578124,-20.3,1.1000000173395328,-18.0,-21.0,952.1,170000,-13.2,3.1240997238360775,-8.0,-19.0,2360.0
18,43749,639.7636749744415,0.670298388671875,0.45901109629663367,2.7196095,-1.2890828,0.0006038640022277832,0.08876324462890625,-19.77777777777778,1.0304020950473787,-18.0,-21.0,1085.5555555555557,180000,-11.7,3.3181319816143704,-6.0,-16.0,2539.8
19,46249,676.8904371261597,0.7202705078125,0.4609220336388249,2.886208,-1.2571357,0.0005298874855041504,0.08184072875976563,-20.1,1.220655624075804,-17.0,-21.0,1025.7,190000,-14.7,1.8999999598452915,-11.0,-18.0,2235.3
20,48749,715.7787041664124,0.832852734375,0.4972219946000604,3.1671076,-1.3264602,0.0006104734420776367,0.08802930297851562,-20.11111111111111,0.7370277271964274,-19.0,-21.0,1073.7777777777778,200000,-12.3,2.531797900771616,-9.0,-16.0,2522.9
21,51249,757.2805433273315,0.9078671875,0.4744093006785517,3.2914774,-1.2719035,0.0005882228851318359,0.08753301391601563,-19.5,0.806225774829855,-18.0,-21.0,1099.8,210000,-13.8,3.2496153383765454,-9.0,-18.0,3007.2
22,53749,796.355161190033,0.9273109375,0.4752837094748646,3.1708956,-1.4271146,0.0005818089485168458,0.08571002197265624,-20.11111111111111,0.5665577185372282,-19.0,-21.0,1040.5555555555557,220000,-12.9,1.7000000448787906,-11.0,-16.0,2576.4
23,56249,836.188583612442,1.00068916015625,0.4754429472541895,3.1820898,-1.280031,0.0006274083137512207,0.0885328125,-18.77777777777778,1.227262325649516,-17.0,-21.0,1178.111111111111,230000,-12.2,3.4871191329537496,-6.0,-17.0,2888.9
24,58749,875.8763370513916,1.0730525390625,0.4833948753025315,2.994337,-1.3806694,0.0006017323017120361,0.08643206787109375,-20.3,0.7810249920117619,-19.0,-21.0,980.1,240000,-9.2,4.284857128347637,-1.0,-15.0,2806.4
25,61249,914.127790927887,1.09557734375,0.48827444995264957,3.321439,-1.4948977,0.0005874410629272461,0.08672711181640624,-18.875,0.9270248108869579,-17.0,-20.0,1165.75,250000,-13.5,4.104875150354759,-5.0,-19.0,2754.1
26,63749,956.0106537342072,1.0968396484375,0.5005304559212032,3.152464,-1.397568,0.0006137024402618408,0.08907374267578125,-19.88888888888889,1.0999438550858365,-18.0,-21.0,1105.0,260000,-13.3,1.7916473505915822,-10.0,-16.0,3217.2
27,66249,995.2119963169098,1.15939736328125,0.5040768364359247,3.1998734,-1.5801237,0.0006777612209320069,0.09339583740234375,-18.875,1.964529205687714,-15.0,-21.0,1231.25,270000,-12.8,4.354308106286538,-3.0,-17.0,2725.5
28,68749,1034.479334115982,1.20961240234375,0.5021453972705515,3.4004838,-1.4941219,0.0006768718719482422,0.09441376953125,-19.0,1.5634719199411433,-17.0,-21.0,1216.4444444444443,280000,-14.1,2.1189619560337,-11.0,-19.0,2857.5
29,71249,1070.637929201126,1.20552353515625,0.49666487793739,3.3651376,-1.4187064,0.0006202920436859131,0.08956807250976563,-20.0,0.9428090415820634,-18.0,-21.0,1120.0,290000,-13.7,1.6155494539465427,-11.0,-16.0,2636.2
30,73749,1109.6393070220947,1.2611212890625,0.495979711302224,3.5023282,-1.5613939,0.0006623082160949707,0.09279614868164063,-19.25,1.299038105676658,-17.0,-21.0,1123.5,300000,-14.0,2.4083189157584592,-10.0,-18.0,2726.9
31,76249,1148.7172515392303,1.29144013671875,0.47791342847547974,3.322099,-1.4123152,0.0006259698867797851,0.08942869873046876,-19.555555555555557,1.065740294323972,-18.0,-21.0,1157.888888888889,310000,-13.2,3.4583232710971528,-6.0,-17.0,2769.8
32,78749,1191.5492451190948,1.3280796875,0.45637570507169584,3.217829,-1.3024867,0.000560103178024292,0.08466608276367188,-19.0,1.4907119849998598,-17.0,-21.0,1196.6666666666667,320000,-13.7,3.822303050564092,-8.0,-19.0,3583.1
33,81249,1231.9997282028198,1.31283330078125,0.4822997631384837,3.6411016,-1.3701558,0.0005713050365447998,0.08467820434570313,-18.285714285714285,1.905951876410635,-14.0,-20.0,1355.5714285714287,330000,-11.1,2.6627054197916618,-7.0,-15.0,3250.8
34,83749,1270.9325132369995,1.346462109375,0.47006295289833255,3.4884982,-1.3633003,0.0005726760864257813,0.08452298583984375,-18.428571428571427,0.9035079136759047,-17.0,-20.0,1351.5714285714287,340000,-13.9,2.981610456704119,-9.0,-20.0,2936.5
35,86249,1312.1297883987427,1.360109765625,0.46418164505867204,3.448402,-1.3534596,0.0005422865390777588,0.08162604370117188,-19.22222222222222,1.1331154838321864,-18.0,-21.0,1161.6666666666667,350000,-12.8,3.736308215936241,-5.0,-17.0,3341.8
36,88749,1353.59521484375,1.34127255859375,0.47744017540813427,3.4542708,-1.6267482,0.0006003097534179688,0.08594400634765625,-19.375,0.6959705453537527,-18.0,-20.0,1200.375,360000,-11.8,4.512205736704784,-2.0,-17.0,3189.3
37,91249,1394.3848724365234,1.424333984375,0.5149825306123864,3.5938234,-1.5267032,0.0006626761436462403,0.08971425170898438,-19.125,0.5994789404140899,-18.0,-20.0,1293.125,370000,-14.0,2.8635642126552705,-7.0,-17.0,2742.9
38,93749,1435.2656064033508,1.48039111328125,0.5003539274697212,3.777611,-1.6045196,0.0006644719123840332,0.09147008666992187,-19.25,0.9682458365518543,-18.0,-21.0,1259.875,380000,-10.6,2.87054004545972,-6.0,-16.0,3267.3
39,96249,1476.0111269950867,1.54140615234375,0.48943346553694095,3.8024714,-1.5925114,0.0006440905570983886,0.08949303588867187,-19.25,0.6614378277661477,-18.0,-20.0,1273.0,390000,-13.0,3.0,-8.0,-18.0,2827.7
40,98749,1517.3562574386597,1.5342556640625,0.5054841574158754,3.9667861,-1.4316314,0.0006401821136474609,0.089256396484375,-19.25,0.6614378277661477,-18.0,-20.0,1221.125,400000,-11.6,2.3748684495331296,-9.0,-17.0,3339.8
41,101249,1559.3351154327393,1.50359580078125,0.5140601491207644,3.7271378,-1.6910341,0.0006276419639587403,0.08877229614257813,-18.75,1.1989578808281798,-16.0,-20.0,1216.75,410000,-10.2,2.2271057108750156,-6.0,-14.0,3279.6
42,103749,1601.0902581214905,1.51592353515625,0.4975352335199488,3.8832653,-1.6272869,0.0006104329586029052,0.08678577880859376,-19.25,1.0897247358851685,-18.0,-21.0,1232.375,420000,-11.6,3.4117444442085474,-6.0,-17.0,3152.7
43,106249,1641.9183905124664,1.4884560546875,0.5076296545818983,3.8126872,-1.4231427,0.0006717475891113282,0.08975987548828125,-18.428571428571427,1.3997084313999573,-16.0,-20.0,1430.0,430000,-13.1,3.477067642374597,-7.0,-18.0,3100.8
44,108749,1683.6596558094025,1.46299365234375,0.5070602601485104,4.1983914,-1.5677657,0.000631125545501709,0.087407470703125,-18.75,1.713913650100261,-16.0,-21.0,1293.0,440000,-10.3,4.124318199454494,-1.0,-15.0,2928.2
45,111249,1725.8249711990356,1.46831015625,0.5202596632331782,4.032638,-1.8373427,0.0007071903228759766,0.092522021484375,-18.0,2.23606797749979,-14.0,-20.0,1547.0,450000,-10.5,3.2939338184001206,-4.0,-15.0,3217.5
46,113749,1767.664085149765,1.4768541015625,0.5265494480949178,3.8527322,-1.5567588,0.0006879125595092774,0.09178927001953124,-18.571428571428573,1.3997084313999573,-16.0,-20.0,1447.857142857143,460000,-11.4,3.072458199821185,-5.0,-16.0,3410.8
47,116249,1808.0652112960815,1.49925419921875,0.5221100238006593,4.229196,-1.5340672,0.0007193717479705811,0.09261087036132812,-18.571428571428573,2.1946131062932652,-14.0,-21.0,1502.5714285714287,470000,-12.4,3.292415549803501,-7.0,-19.0,3006.7
48,118749,1850.0614094734192,1.54044833984375,0.515375673621619,4.373143,-1.6752326,0.0006725325584411621,0.08920228881835937,-18.0,1.4142135623730951,-16.0,-21.0,1277.375,480000,-10.8,3.709447274793464,-4.0,-16.0,3148.5
49,121249,1893.8140013217926,1.50396572265625,0.5351694341441666,4.568216,-1.7253453,0.0006845757484436035,0.0898088134765625,-18.714285714285715,0.8806305552770247,-17.0,-20.0,1500.857142857143,490000,-10.1,3.7802117553818784,-4.0,-16.0,3643.7
50,123749,1935.8310899734497,1.5097140625,0.5233662031667573,4.8157244,-1.611448,0.0006705271720886231,0.09028471069335937,-19.142857142857142,1.1248582417623814,-17.0,-20.0,1382.0,500000,-8.1,6.252199564125288,6.0,-17.0,3335.9
51,126249,1975.1896059513092,1.49279580078125,0.525286635851977,4.7363663,-1.9440168,0.0006412413597106934,0.08807643432617188,-18.333333333333332,1.1055416447090698,-17.0,-20.0,1486.8333333333333,510000,-9.5,2.7294688127912363,-3.0,-13.0,3098.9
52,128749,2019.7843198776245,1.501544140625,0.5406526817334998,4.3463817,-2.077747,0.0006733291625976562,0.08971885375976563,-17.142857142857142,1.8070158273518093,-14.0,-20.0,1504.4285714285713,520000,-9.0,3.286335345030997,-1.0,-13.0,3325.9
53,131249,2062.1224505901337,1.4992564453125,0.5406983106002251,4.293346,-1.9812264,0.0007290159225463867,0.09294459838867188,-18.571428571428573,0.7284313023074374,-18.0,-20.0,1437.2857142857142,530000,-8.6,4.386342370318172,-1.0,-14.0,3276.6
54,133749,2103.5391051769257,1.53516162109375,0.5650765210211578,4.6390567,-1.9452736,0.000863271713256836,0.10124428100585937,-17.166666666666668,2.0344258838702536,-13.0,-19.0,1615.6666666666667,540000,-8.9,2.9816103287632827,-3.0,-14.0,3076.6
55,136249,2146.2856504917145,1.52780537109375,0.5755326379822542,4.804096,-2.0774183,0.0009157720565795899,0.105204541015625,-16.666666666666668,2.6246692509650167,-14.0,-21.0,1645.0,550000,-6.8,3.4000000897575813,1.0,-12.0,3569.9
56,138749,2188.5182087421417,1.53539453125,0.5768083613663966,4.7008343,-1.6669152,0.0009029138565063477,0.10545093994140625,-17.0,1.4142135623730951,-15.0,-19.0,1538.7142857142858,560000,-10.8,3.841874423308583,-3.0,-17.0,3143.4
57,141249,2231.3331158161163,1.5243732421875,0.5563221951042624,4.4748178,-1.8009514,0.0007457191467285157,0.0961282470703125,-17.333333333333332,0.9428090556310128,-16.0,-18.0,1533.5,570000,-7.0,4.538722287164087,4.0,-12.0,3421.2
58,143749,2274.634595155716,1.50327490234375,0.5543763431846749,4.7265615,-1.7780786,0.0007902835369110108,0.0983875,-17.0,2.309401076758503,-14.0,-20.0,1802.3333333333333,580000,-7.8,5.963220401644882,3.0,-19.0,3603.6
59,146249,2316.2963716983795,1.5047326171875,0.5529381746633162,4.4160504,-2.0692925,0.0007625473976135254,0.0957282470703125,-17.333333333333332,1.5986105409133797,-14.0,-19.0,1537.3333333333333,590000,-12.1,3.080584384915935,-7.0,-17.0,3074.3
60,148749,2358.9347274303436,1.4792044921875,0.5567647723399443,4.478558,-1.9575834,0.0007105127811431885,0.091839599609375,-17.142857142857142,1.8070158273518093,-15.0,-20.0,1596.142857142857,600000,-9.9,4.011234147946046,-3.0,-16.0,3253.9
61,151249,2402.0161848068237,1.42152265625,0.559178430894938,4.6448617,-1.6850412,0.0007179130554199218,0.09236156616210937,-16.833333333333332,2.4094721370895344,-13.0,-20.0,1642.8333333333333,610000,-6.7,3.5791061189005786,-1.0,-12.0,3623.4
62,153749,2446.674138069153,1.42012314453125,0.5465708305897439,4.4752274,-1.706092,0.0007149699211120605,0.09277484741210938,-17.4,1.0198039307731948,-16.0,-19.0,1760.4,620000,-11.9,2.844292557489101,-7.0,-17.0,3669.7
63,156249,2488.474087715149,1.4267580078125,0.546658148970577,4.433224,-1.7102998,0.0006233938217163086,0.08642025146484375,-15.166666666666666,1.771690998693819,-12.0,-17.0,1870.3333333333333,630000,-8.1,5.204805120068438,5.0,-15.0,3350.8
64,158749,2530.316418170929,1.4258359375,0.5531814722231191,4.934953,-1.9483496,0.0007210243701934815,0.09101915893554688,-16.2,1.3266498586334337,-14.0,-18.0,1792.8,640000,-11.6,2.973213775124132,-5.0,-16.0,2955.2
65,161249,2572.8478405475616,1.40481962890625,0.5459775895770013,4.7672486,-1.6313334,0.0006713016510009766,0.08840043334960937,-17.8,0.9797959165800665,-16.0,-19.0,1896.0,650000,-10.9,2.8089144081989916,-7.0,-15.0,3296.4
66,163749,2615.8901722431183,1.416272265625,0.5442551757117818,4.520982,-1.6086224,0.0006169958114624023,0.08494669799804687,-15.5,0.7637626158259734,-14.0,-16.0,1962.8333333333333,660000,-6.8,2.712931965127786,-1.0,-10.0,3812.0
67,166249,2656.4747710227966,1.39482236328125,0.5390280559647962,4.6172705,-1.7073786,0.0006724728107452393,0.08934583740234375,-17.0,1.8973665961010275,-15.0,-20.0,1662.2,670000,-9.6,3.61109414381948,-5.0,-16.0,3359.2
68,168749,2701.8221299648285,1.36724765625,0.5421012854725006,4.1941104,-3.3746817,0.0006764389514923095,0.08971567993164062,-16.0,0.8944271909999159,-15.0,-17.0,2103.2,680000,-12.4,4.565084817355362,-4.0,-16.0,3218.0
69,171249,2744.467836380005,1.34278193359375,0.5603294929101983,4.4597545,-1.8054379,0.0006246407508850098,0.085189501953125,-14.6,1.7435596211738476,-12.0,-17.0,2139.4,690000,-10.7,3.8742740074074082,-4.0,-17.0,3263.3
70,173749,2789.3775691986084,1.3368509765625,0.5752195360455323,4.8133473,-2.0208917,0.0006558621406555176,0.08634998168945313,-15.2,2.1354156146783487,-12.0,-18.0,1991.4,700000,-9.9,4.592384934829444,2.0,-15.0,3355.9
71,176249,2831.247281074524,1.37010234375,0.5533877597989609,4.6662703,-1.973641,0.0005767232894897461,0.08142095336914063,-15.4,1.2000000238418578,-14.0,-17.0,2055.6,710000,-12.0,2.449489742783178,-8.0,-15.0,3282.3
72,178749,2872.08003783226,1.3668966796875,0.5615089794334326,4.574797,-2.1577015,0.0005837607383728027,0.08113004760742187,-16.4,1.0198038840154646,-15.0,-18.0,1987.0,720000,-10.3,2.6851442880061605,-5.0,-14.0,3262.3
73,181249,2915.0195775032043,1.355419921875,0.5742017854636883,4.739476,-1.844197,0.0005901238441467286,0.08192385864257813,-15.4,0.48989795829003324,-15.0,-16.0,2002.8,730000,-11.2,2.8565713447089167,-7.0,-16.0,3385.2
