Epoch,PolicyUpdates,Time (second),AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LossPi,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,4999,23.942601919174194,7.660385983446689,6.255685551587777,44.173878,-8.769534,7.6585598369673935,6.258611540803898,43.46913,-7.662062,-9.233516844237695,0.03928844240527793,0.7479105196039207,19.489327728060047,18.30416445756559,175.8101,5.123922,23.07621247113164,10000,38.95979410807292,1.0503999342008765,40.51911,36.878147,22.166666666666668
2,14999,70.9174530506134,40.5548625,21.436547063368206,117.85468,-64.93473,40.55660625,21.43299909018801,120.14223,-78.66764,-44.695528125,0.336649853515625,2.58264296875,154.47001008064515,56.53629873450131,200.71796,38.30452,80.41129032258064,20000,180.97838541666667,3.5381144103504014,187.13942,174.92816,98.66666666666667
3,24999,118.0137574672699,72.68165,29.105551016945203,136.10104,-28.70311,72.6811125,29.134089997801546,137.21483,-31.085407,-77.562425,0.366479833984375,2.9882970703125,186.15738467261906,7.191652527161512,199.70947,160.97192,94.6952380952381,30000,191.93704427083333,3.396902640708993,196.25806,184.96858,97.66666666666667
4,34999,165.11773777008057,86.57815,37.071657637607736,146.49124,-138.3547,86.5779125,37.10502661365438,149.36484,-117.73314,-91.5139125,0.390384619140625,3.0152193359375,177.72075591216216,12.80540137896315,203.95349,127.73625,90.67567567567568,40000,170.51591796875,1.5486107948352317,173.20311,167.32877,83.3
5,44999,212.8161120414734,92.84945625,41.418638316583994,169.90831,-270.02966,92.85214375,41.384576837271155,167.10503,-224.57231,-97.31796875,0.62405830078125,3.8250296875,162.27517790841586,117.64502846602689,621.08484,6.563128,98.85148514851485,50000,273.92493489583336,3.1735578009878656,284.62964,269.7391,130.43333333333334
6,54999,260.5452399253845,105.1330625,41.40300230659607,173.07715,-219.87692,105.133,41.41204897128371,170.68294,-190.53926,-110.2000625,0.7060763671875,4.370162109375,281.890922934322,117.4567762185776,741.09265,102.98397,168.6949152542373,60000,249.598876953125,17.412916699069974,266.9387,210.39313,124.03333333333333
7,64999,308.4583444595337,114.5311875,43.65950526517679,192.45763,-85.859474,114.535825,43.650413514650694,190.19617,-76.048454,-118.6470625,0.6687970703125,4.348456640625,191.69657995345744,137.52693643312517,636.0356,4.2435274,106.12765957446808,70000,245.93004557291667,2.892328643514833,252.20143,241.21999,124.16666666666667
8,74999,356.97837829589844,118.7320125,48.49550288428814,197.6002,-67.30354,118.7443125,48.50921561930269,200.6399,-64.72097,-122.4878625,0.54770703125,3.9118578125,255.4875,45.34979854355669,332.72302,174.13374,118.51764705882353,80000,312.04309895833336,4.664516353197273,322.1136,303.30435,127.0
9,84999,406.370911359787,123.57155,53.05658677299172,200.77872,-76.03835,123.5821,53.089923714392356,200.4589,-83.7098,-127.4535375,0.5000646484375,3.720004296875,341.3267299107143,95.56750722656733,912.4063,242.2461,165.89285714285714,90000,267.97215169270834,158.57541581216174,626.5614,125.45935,151.86666666666667
10,94999,455.7206127643585,130.177225,53.074735986154465,221.88414,-170.82289,130.18875,53.090375775652596,221.27997,-87.373024,-133.896175,0.5348037109375,3.819514453125,475.61564316860466,160.1922627548273,904.93146,125.69334,248.62790697674419,100000,452.53997395833335,55.64765456273367,547.03735,293.7855,201.26666666666668
