Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,999,3.2479588985443115,1.2275774309465717,0.4999525870600712,2.5894017,-0.2492141,0.04103159021448206,0.20867776345681618,23.046511627906977,13.36509401761035,79.0,9.0,23.046511627906977,2000,9.333333333333334,0.6992058836252212,10.0,8.0,9.333333333333334
2,2999,9.950116395950317,3.56445849609375,1.2015402001344202,6.7000494,0.09026052,0.018715723037719727,0.4350918884277344,33.01639344262295,62.62966467690038,289.0,8.0,33.01639344262295,4000,211.26666666666668,55.22917924053673,411.0,132.0,211.26666666666668
3,4999,16.545382976531982,6.82673095703125,2.3480815182625685,12.098358,-1.3320267,0.023278717041015626,0.45474835205078123,241.5,29.52541278288925,297.0,203.0,241.5,6000,239.8,45.75106584596327,341.0,151.0,239.8
4,6999,23.192688703536987,10.363759765625,3.415164367384094,17.869375,-2.5489957,0.027005416870117187,0.48581039428710937,226.44444444444446,51.41792019676711,282.0,131.0,226.44444444444446,8000,247.56666666666666,67.35710182799336,401.0,131.0,247.56666666666666
5,8999,29.841192483901978,13.7099609375,4.598195128254129,22.817417,-3.3209147,0.03681025695800781,0.573235595703125,191.77777777777777,57.8384307461791,254.0,57.0,191.77777777777777,10000,230.8,55.94306303808662,405.0,134.0,230.8
6,10999,36.43600821495056,16.929533203125,5.842959505357709,26.686735,-4.1455417,0.03688399887084961,0.63422509765625,272.875,76.28308708357312,426.0,178.0,272.875,12000,213.43333333333334,45.721390758775776,347.0,113.0,213.43333333333334
7,12999,43.0432550907135,19.900796875,7.066970377219647,30.331978,-5.070003,0.03151167678833008,0.6697542724609375,225.11111111111111,34.30401445874974,292.0,173.0,225.11111111111111,14000,203.13333333333333,38.31251699292717,377.0,149.0,203.13333333333333
8,14999,49.549673318862915,22.82984765625,8.190554773640184,33.272003,-6.616446,0.032917667388916015,0.6606641845703125,179.54545454545453,17.10057694609175,210.0,158.0,179.54545454545453,16000,159.93333333333334,19.85939425975987,248.0,142.0,159.93333333333334
9,16999,56.03157901763916,25.521572265625,9.38415386436092,36.53618,-7.361739,0.03435264587402344,0.6628191528320313,156.92307692307693,17.512462831282964,186.0,130.0,156.92307692307693,18000,142.23333333333332,36.430468518238044,190.0,74.0,142.23333333333332
10,18999,62.47092247009277,27.908134765625,10.419147412936434,40.196857,-8.100481,0.0349969482421875,0.6565901489257813,106.94736842105263,29.960453992787684,165.0,74.0,106.94736842105263,20000,85.6,14.627827584564633,137.0,69.0,85.6
