Epoch,PolicyUpdates,Time (second),AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LossPi,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,4999,25.45823574066162,6.790054104570914,5.4832202003706865,36.00435,-6.899706,6.78946023579716,5.470149690138882,36.758533,-5.137497,-7.833931228741497,0.04914516533677829,0.7342605728176885,19.597969825114678,19.75049899207055,194.4446,4.716698,22.912844036697248,10000,38.643680826822916,0.9099901214175207,40.60759,36.957954,21.966666666666665
2,14999,73.2426369190216,21.1870140625,10.534524787573476,45.73027,-10.87933,21.1851359375,10.519620359119429,44.992123,-12.274653,-22.6688375,0.074261083984375,1.0910662109375,39.424328585600904,3.790880341719488,115.404854,36.5727,22.691609977324262,20000,38.98446451822917,0.8492982398447853,40.792423,36.94309,22.2
3,24999,127.87468528747559,32.77523125,16.01075263689999,86.599815,-37.187103,32.774484375,15.992774931199401,87.09824,-29.570248,-35.81061875,0.2669654541015625,1.9004685546875,108.95326286764706,254.30729442939696,1034.0922,9.790441,114.6470588235294,30000,1006.7793619791667,0.5686148961611117,1007.78796,1005.6611,1000.0
4,34999,176.69546818733215,51.25506875,20.984843339896535,133.43947,-38.233982,51.253075,20.94007521476463,138.101,-39.88751,-55.55205625,0.3259236328125,2.63998046875,332.4990948932927,275.2574072462037,1018.3128,136.62126,249.85365853658536,40000,202.203466796875,1.1856532678098175,204.50089,198.89459,103.1
5,44999,226.51381134986877,72.4023,27.870084319929855,148.30879,-54.71283,72.40950625,27.834441794295067,153.81395,-60.782566,-76.76033125,0.2971804931640625,2.612302734375,259.00248579545456,137.4587472552027,1049.4911,196.73207,150.04545454545453,50000,315.14697265625,16.410395309642908,350.98648,294.05658,180.26666666666668
6,54999,270.10593032836914,85.269975,32.77926326200758,145.54437,-54.13563,85.2792125,32.7536471251676,146.5288,-57.29004,-90.3651625,0.3528681640625,2.7034162109375,258.42960497359155,56.094397456932704,636.00305,204.64972,142.0281690140845,60000,311.4189778645833,12.67839369426059,351.6606,296.671,176.2
7,64999,314.22140765190125,93.117775,35.41087686008354,151.34259,-71.039474,93.12383125,35.38555637544788,152.10652,-75.20817,-97.889175,0.351785546875,2.6705775390625,331.1810661764706,108.95288152296322,1052.3948,214.27936,196.2549019607843,70000,276.737109375,7.464668024597471,291.37143,262.41153,157.86666666666667
8,74999,360.44996428489685,96.6829,36.45562919495424,146.66345,-61.04107,96.6886,36.43544702621336,147.00557,-72.23543,-101.2816,0.347892724609375,2.5795349609375,321.60224971064815,59.225413421160745,524.105,239.1106,175.4814814814815,80000,282.43434244791666,29.535166186542217,343.93808,255.57208,144.43333333333334
9,84999,407.33949422836304,97.7597625,36.17749438532193,150.04657,-102.977585,97.76778125,36.15725515024612,151.47261,-86.58243,-101.85700625,0.2935082763671875,2.3213666015625,395.9324266387195,228.11843040991434,1070.5093,247.69772,256.1951219512195,90000,346.25107421875,86.84260187258324,443.84647,178.68082,193.5
10,94999,454.1060061454773,100.978,35.78801475354563,158.0903,-154.3195,100.98358125,35.76671077971806,157.85884,-135.87889,-104.97785,0.279888134765625,2.233871484375,430.3857421875,244.32539176029888,1094.664,275.79834,291.20588235294116,100000,320.5009440104167,7.068904383261065,333.15085,306.84888,169.86666666666667
