Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,999,2.8020665645599365,1.4352223317067068,0.5083166904417066,2.5857484,0.018309655,0.03080733664878257,0.22849387473410912,23.96385542168675,13.576597335103822,87.0,9.0,23.96385542168675,2000,9.966666666666667,0.9826269058437457,12.0,8.0,9.966666666666667
2,2999,8.702841520309448,3.829052490234375,1.2550075479105693,7.1828203,0.20944905,0.011637426376342774,0.419642822265625,154.08333333333334,86.21722656319908,366.0,69.0,154.08333333333334,4000,285.3666666666667,55.54366713076598,480.0,218.0,285.3666666666667
3,4999,14.562213659286499,7.17502880859375,2.2538576955342036,11.816243,-0.99122447,0.011916716575622559,0.4221210021972656,241.5,34.92134018046845,308.0,203.0,241.5,6000,261.8333333333333,67.26766341762338,480.0,176.0,261.8333333333333
4,6999,20.283279418945312,10.6388076171875,3.1636164037379753,16.075842,-1.9637446,0.015675735473632813,0.47497088623046874,225.88888888888889,42.283290170044324,330.0,178.0,225.88888888888889,8000,268.6333333333333,55.94371473856558,389.0,199.0,268.6333333333333
5,8999,26.033580541610718,14.05096875,4.258891892998694,20.718096,-2.3566532,0.018905677795410157,0.5218899536132813,239.55555555555554,31.134512295887628,286.0,184.0,239.55555555555554,10000,240.66666666666666,49.380382090630555,439.0,181.0,240.66666666666666
6,10999,31.67421317100525,17.37443359375,5.393599360584729,24.435236,-2.8211207,0.023089780807495117,0.5638707885742188,230.875,32.84980022770306,273.0,184.0,230.875,12000,215.0,27.67188705768606,281.0,177.0,215.0
7,12999,37.267329692840576,20.18981640625,6.599943773434741,28.168661,-3.9553235,0.026308692932128907,0.5850509033203125,205.0,34.091054545144246,295.0,168.0,205.0,14000,190.56666666666666,14.020659398685867,218.0,166.0,190.56666666666666
8,14999,42.85902523994446,22.753751953125,7.7613555919697435,31.44314,-4.5806284,0.029768711090087892,0.6126756591796875,217.22222222222223,47.007749527338575,303.0,175.0,217.22222222222223,16000,178.66666666666666,9.866891614394492,199.0,161.0,178.66666666666666
9,16999,48.42815661430359,25.187595703125,8.789249914668487,35.08377,-5.170674,0.03165789031982422,0.6213963012695313,189.0909090909091,16.13834839946455,226.0,168.0,189.0909090909091,18000,167.73333333333332,6.865048432018403,179.0,154.0,167.73333333333332
10,18999,54.04293870925903,27.6044609375,9.771398793161602,38.760895,-5.9247346,0.034759574890136716,0.62404833984375,149.30769230769232,38.00887105461242,189.0,50.0,149.30769230769232,20000,165.76666666666668,19.36265063423222,196.0,119.0,165.76666666666668
11,20999,59.62657046318054,29.91883984375,10.710475304579157,42.249195,-6.55758,0.04092861938476562,0.6421133422851563,127.9375,48.663986619984186,176.0,11.0,127.9375,22000,154.2,9.703607241102834,168.0,120.0,154.2
12,22999,65.25377345085144,32.03904296875,11.698219682926116,45.525925,-6.9488277,0.037215476989746095,0.6155773315429688,135.2,22.106408443499667,174.0,107.0,135.2,24000,126.76666666666667,11.409596398381423,179.0,118.0,126.76666666666667
13,24999,70.949059009552,34.222375,12.601302016061673,48.39823,-7.1338744,0.03437129211425781,0.598399658203125,125.0625,13.329800964380526,170.0,113.0,125.0625,26000,135.7,28.315071857066393,276.0,123.0,135.7
14,26999,76.63257622718811,36.08835546875,13.52254541035082,51.198532,-7.871329,0.03402725219726563,0.59592333984375,130.375,6.489173676208705,142.0,121.0,130.375,28000,130.3,4.059145875983397,141.0,125.0,130.3
15,28999,82.22597074508667,38.12977734375,14.397227380645205,53.77207,-8.202726,0.03280342864990234,0.5899078979492187,132.2,5.281414106178146,140.0,124.0,132.2,30000,136.06666666666666,4.343066352451557,149.0,130.0,136.06666666666666
16,30999,87.8152391910553,40.07901953125,15.153104570516234,56.592667,-8.351629,0.03387496948242188,0.5874540405273437,133.33333333333334,6.04060357924293,148.0,125.0,133.33333333333334,32000,132.7,4.099999826322723,144.0,127.0,132.7
17,32999,93.42238283157349,41.612484375,15.970842084091872,58.77332,-9.607773,0.03388448333740234,0.5797073974609375,133.66666666666666,8.08015367821316,145.0,110.0,133.66666666666666,34000,137.23333333333332,5.187699034522575,152.0,130.0,137.23333333333332
18,34999,99.0293984413147,42.80352734375,16.877372055506747,60.712067,-9.420472,0.03423637390136719,0.5786552734375,140.0,10.05698051817031,162.0,127.0,140.0,36000,136.3,5.1971147406617995,148.0,127.0,136.3
19,36999,104.64821863174438,44.111578125,17.740144270833877,62.989243,-9.936391,0.034034725189208984,0.5778755493164063,133.06666666666666,6.777085654907892,146.0,123.0,133.06666666666666,38000,137.43333333333334,5.1619336178538955,149.0,125.0,137.43333333333334
20,38999,110.27607083320618,45.336578125,18.49510661634585,65.088394,-10.182204,0.034758438110351564,0.5771824340820313,134.46666666666667,5.829427286920181,147.0,128.0,134.46666666666667,40000,137.2,4.214261452864423,150.0,130.0,137.2
21,40999,115.9000813961029,46.5163671875,19.170583748284766,66.99182,-10.034728,0.036659435272216795,0.5777748413085938,138.5,8.94227519786132,154.0,123.0,138.5,42000,150.53333333333333,5.451197464073165,163.0,137.0,150.53333333333333
22,42999,121.59942412376404,47.46594921875,19.980341119460398,68.63302,-10.492415,0.03780767822265625,0.5835790405273438,136.33333333333334,6.342098769088589,152.0,126.0,136.33333333333334,44000,142.23333333333332,4.333461427018028,152.0,132.0,142.23333333333332
23,44999,127.26236748695374,48.40608984375,20.64131703041257,70.37969,-10.003093,0.037296070098876956,0.5744122924804688,150.23076923076923,7.223400425660694,162.0,137.0,150.23076923076923,46000,158.46666666666667,5.090732346806589,167.0,144.0,158.46666666666667
24,46999,132.91614413261414,49.14386328125,21.32944634185332,71.924446,-10.142387,0.038508243560791015,0.5775940551757812,172.75,21.741377601246892,241.0,158.0,172.75,48000,161.33333333333334,6.001851792146806,173.0,145.0,161.33333333333334
25,48999,138.57381010055542,49.79492578125,21.74978017130288,73.20275,-10.29946,0.03908784866333008,0.5832267456054687,174.0909090909091,29.162412264120057,257.0,153.0,174.0909090909091,50000,161.73333333333332,5.427911317697301,169.0,144.0,161.73333333333332
26,50999,144.30112624168396,50.862328125,22.077487119235286,74.60655,-10.434391,0.0382451171875,0.5774063110351563,166.83333333333334,13.427789914657867,183.0,137.0,166.83333333333334,52000,187.5,11.786291472158096,227.0,167.0,187.5
27,52999,150.11557817459106,51.79064453125,22.40124857011323,76.081276,-10.729362,0.038566078186035156,0.5668289184570312,184.36363636363637,16.63661189872355,215.0,155.0,184.36363636363637,54000,284.0,49.96798975344115,347.0,161.0,284.0
28,54999,156.04178714752197,52.64270703125,22.72293995063139,77.5653,-11.093399,0.04435642242431641,0.5889722900390625,260.0,54.933726304650826,327.0,160.0,260.0,56000,251.33333333333334,32.639783527928,352.0,215.0,251.33333333333334
29,56999,162.01239013671875,53.743875,22.99455506201414,78.83767,-10.936827,0.04322851181030273,0.58979931640625,287.7142857142857,100.2820520101037,500.0,175.0,287.7142857142857,58000,298.53333333333336,81.70096962398917,500.0,174.0,298.53333333333336
30,58999,167.99252581596375,54.85117578125,23.423736625483134,80.24421,-11.704961,0.044049388885498045,0.5949840087890625,279.2857142857143,66.97699790053191,437.0,209.0,279.2857142857143,60000,481.8666666666667,49.03178178487908,500.0,321.0,481.8666666666667
31,60999,174.01270389556885,56.42881640625,23.587413221885946,81.76225,-10.545448,0.042990142822265626,0.5849168090820313,297.57142857142856,36.343037933695086,349.0,230.0,297.57142857142856,62000,400.23333333333335,91.90236837263771,500.0,245.0,400.23333333333335
32,62999,179.8808331489563,57.403921875,23.993030237967023,83.025795,-11.279192,0.04185879516601562,0.5790936889648437,290.2857142857143,67.54831686731464,374.0,161.0,290.2857142857143,64000,231.6,15.988745736747926,266.0,204.0,231.6
33,64999,185.97925996780396,58.27243359375,24.367934873517697,84.2177,-10.91903,0.04028512954711914,0.5740602416992188,300.7142857142857,60.032643184919465,384.0,213.0,300.7142857142857,66000,378.53333333333336,109.23422845732316,500.0,184.0,378.53333333333336
34,66999,192.0778832435608,59.19040625,24.754688949772728,85.68677,-10.711148,0.03782712554931641,0.566760498046875,481.75,31.60992723813201,500.0,427.0,481.75,68000,497.1333333333333,15.437472060534772,500.0,414.0,497.1333333333333
35,68999,198.14620399475098,60.15085546875,25.158200700765544,86.93631,-11.166939,0.041552547454833985,0.5813202514648438,380.2,107.7077534639452,500.0,240.0,380.2,70000,307.8333333333333,32.06564515113229,424.0,248.0,307.8333333333333
36,70999,204.2807056903839,60.810125,25.57061301572569,88.14715,-11.173174,0.04182328414916992,0.582602783203125,374.3333333333333,128.28180952983942,500.0,209.0,374.3333333333333,72000,431.5,98.98072202875332,500.0,259.0,431.5
37,72999,210.42739367485046,61.24261328125,25.875700473610372,88.95471,-10.607284,0.04065179443359375,0.5790037841796875,231.75,49.59271619905488,348.0,174.0,231.75,74000,277.2,96.97023813177594,500.0,172.0,277.2
38,74999,216.56157732009888,61.55730859375,26.324347095417203,89.92617,-11.784459,0.0402786865234375,0.5773517456054688,262.75,108.19744682754765,500.0,114.0,262.75,76000,469.53333333333336,63.97329561686918,500.0,297.0,469.53333333333336
