Epoch,PolicyUpdates,Time (second),AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LossPi,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,4999,27.49956774711609,8.006072308211643,6.482427544784028,43.34497,-7.5443015,8.006831835117023,6.478635382415316,43.611824,-6.4675817,-9.556893851290516,0.08153367123620037,0.7852100693576215,19.597969825114678,19.75049899207055,194.4446,4.716698,22.912844036697248,10000,146.65198567708333,1.7905023147779677,149.92601,143.84659,79.5
2,14999,79.86108064651489,43.9266375,23.545899855388836,111.96225,-27.444338,43.929821875,23.54884392066838,114.59112,-26.185804,-48.9183125,0.65195537109375,2.73965625,183.59172386098132,27.937287654172202,237.93243,117.551445,93.13084112149532,20000,224.30948893229166,1.232993029135134,227.17609,222.20659,108.86666666666666
3,24999,134.45984411239624,81.88571875,34.4725412466212,145.64717,-73.566185,81.894125,34.50137678412269,146.01704,-75.86229,-87.810225,0.50162001953125,3.2738109375,198.1132421875,19.601971959155026,230.21507,169.14272,100.05,30000,199.00120442708334,1.1754515192940167,201.37546,196.66292,96.4
4,34999,189.5044207572937,102.37914375,43.319136648829925,162.52837,-134.30122,102.38726875,43.33978541709684,163.24945,-116.9833,-108.355975,0.3360001708984375,2.957526171875,231.11667798913044,18.16023619995938,291.62094,191.6654,108.65217391304348,40000,267.8842447916667,9.399179755602347,287.52457,255.97725,140.13333333333333
5,44999,244.2722508907318,110.578475,49.584894877371674,174.25609,-147.08914,110.5869125,49.59711281919543,175.47884,-136.05371,-115.849925,0.323103271484375,2.75826796875,207.42640269886363,68.14802571675065,430.2173,90.07122,113.63636363636364,50000,173.86149088541666,28.29481028497099,200.27042,84.32643,92.36666666666666
6,54999,299.9858810901642,111.5198125,50.647505367984316,186.24902,-134.68997,111.5284125,50.655832832952214,181.48416,-131.65367,-116.1978375,0.4058942138671875,2.94608125,216.2867288961039,82.29744417770104,434.54803,48.768406,128.37662337662337,60000,349.649609375,6.567813758901403,365.4202,328.97864,224.23333333333332
7,64999,356.5493583679199,114.0241,48.71725977515566,184.56818,-62.767395,114.02815,48.724942278057135,182.5562,-62.151134,-118.038675,0.32716513671875,2.71332109375,424.56040736607144,129.95754114325186,943.16266,305.89825,287.22857142857146,70000,336.28440755208334,12.929600799054729,374.2832,320.9048,181.83333333333334
8,74999,414.9801731109619,117.453075,48.91500587754232,188.03822,-62.717766,117.4512125,48.93206310794589,184.02202,-87.247574,-121.5708625,0.3136416015625,2.6674234375,276.6790930706522,77.62926048426156,549.3237,85.69442,144.63768115942028,80000,295.60634765625,4.823811871337033,305.69528,287.25085,148.2
9,84999,473.7168023586273,122.196675,48.611632352761,197.58691,-70.13799,122.1998125,48.62110035776648,191.28865,-66.88639,-126.1284875,0.313175048828125,2.8185140625,340.109375,180.7527819476596,1185.5023,199.22932,182.0,90000,324.0392252604167,2.887775728346397,328.0357,315.7665,135.16666666666666
10,94999,532.0610525608063,126.46875,46.895057308846525,197.37694,-70.73781,126.4710125,46.904281254486776,191.22647,-63.60146,-129.89025,0.3014509033203125,2.7323958984375,368.8772977941176,160.65834989864942,943.16046,74.8754,195.41176470588235,100000,333.61712239583335,6.012033559956371,347.17072,323.56137,138.46666666666667
11,104999,594.1107213497162,128.71035,48.41130859623606,229.38785,-77.631966,128.7068875,48.436663799233735,226.83707,-95.80001,-131.7858375,0.30505224609375,2.6128521484375,356.37055495689657,181.6162767561284,1095.1743,123.01953,174.17241379310346,110000,392.80703125,219.22324048026175,1207.6051,154.38704,260.4
12,114999,652.5816128253937,136.17985,48.56581513781067,221.64143,-82.5693,136.1807375,48.60523017124803,218.77274,-74.592705,-139.50275,0.3354057373046875,2.682808984375,336.47256019467216,192.21119489411367,1539.8058,55.540897,164.49180327868854,120000,327.40367838541664,11.811994312368114,348.91016,309.7014,134.76666666666668
13,124999,711.9572629928589,137.9909125,49.77956207119544,214.47076,-97.06334,137.99415,49.81585691323597,214.81854,-94.08589,-140.99245,0.314847607421875,2.58535859375,442.2184870793269,112.96288851960324,669.9412,228.91437,188.73076923076923,130000,461.4819010416667,23.756195737901724,554.9348,426.31564,210.16666666666666
14,134999,767.9541716575623,142.65765,50.40141466268581,230.64415,-340.474,142.6644875,50.43276514330738,227.7687,-116.293945,-145.687575,0.30311611328125,2.570174609375,479.0403380102041,276.5854113938737,1447.3658,105.1207,207.73469387755102,140000,324.51276041666665,50.31348083930058,405.31958,253.18553,136.06666666666666
15,144999,819.8131082057953,143.1775,50.79965747916023,230.2286,-109.57234,143.19045,50.828216573080745,232.95058,-97.441765,-145.9255875,0.321878564453125,2.76211484375,447.1063442887931,210.68156024575623,1107.8723,212.05463,169.5344827586207,150000,822.0886067708333,63.293580588792736,957.9132,642.1714,275.8333333333333
16,154999,871.698792219162,147.046775,52.033835145989386,250.16135,-92.79857,147.05745,52.062714105202005,246.39934,-88.901886,-149.7066,0.297160595703125,2.719856640625,656.2846575797872,99.46983130791735,892.69165,420.7268,216.2127659574468,160000,550.2260416666667,28.196724516111797,606.9256,505.50348,188.13333333333333
17,164999,924.4635319709778,152.5864875,55.18287777925323,258.99625,-133.46625,152.5962625,55.20169743766944,256.70044,-107.706566,-155.229875,0.283654345703125,2.656269921875,702.2099144345239,167.29758558585698,1168.1003,404.4719,236.64285714285714,170000,1181.325390625,76.5972183187266,1272.7654,974.437,417.3
18,174999,980.0227057933807,161.0458875,57.63130399357627,260.75073,-84.074455,161.06225,57.64525652644804,261.06775,-89.204605,-163.821225,0.305317724609375,2.802598046875,934.7654989919355,223.31241677047643,1313.6965,617.02423,323.4516129032258,180000,1384.4446614583333,416.48185234573344,3104.7263,1152.9259,451.1666666666667
19,184999,1032.640790939331,168.325425,60.689007241839114,265.19757,-93.5779,168.3414625,60.70847716752579,264.21112,-98.00964,-171.132125,0.32500791015625,2.9363869140625,984.1341145833334,202.83550395990014,1495.9087,666.2252,325.6666666666667,190000,933.421484375,102.84192967851196,1113.4978,834.3704,305.26666666666665
20,194999,1087.988008260727,175.12545,63.419088609030005,269.86978,-114.24915,175.1437125,63.44083858209946,269.91644,-124.907166,-177.9249,0.33836396484375,3.0245646484375,883.050390625,123.71606316769979,1158.2773,630.20374,288.34285714285716,200000,2901.9645833333334,42.569003418958886,2974.551,2806.5046,1000.0
21,204999,1144.5276083946228,182.3761125,65.47663705475412,280.4488,-126.74618,182.3980375,65.49056420584571,276.257,-124.028854,-185.175475,0.36053125,3.077475,1904.4955357142858,736.2509277219476,2867.3384,894.6925,682.2857142857143,210000,945.9576171875,493.83973446183256,2472.4617,471.68686,383.96666666666664
22,214999,1199.552354812622,187.6904375,66.6705662192845,276.77826,-175.91838,187.7221125,66.67283704778131,275.51212,-156.43803,-190.507775,0.47676337890625,3.2135494140625,1680.6700439453125,1085.8818420988537,3003.7534,16.757858,617.4375,220000,2767.944270833333,530.4567528712088,3084.0278,724.5592,938.5
23,224999,1260.8560843467712,191.4446625,66.9070997727446,280.08575,-139.23882,191.4722625,66.90791582466159,277.05966,-191.13774,-194.229025,0.492979248046875,3.2076341796875,1719.6450452302631,997.2526470785942,3239.4407,716.2842,559.1052631578947,230000,2962.6614583333335,35.87860572762455,3059.1868,2905.34,1000.0
24,234999,1326.0485677719116,195.48515,68.11491466631959,283.0593,-140.2253,195.5149,68.10433466380829,282.8185,-129.4258,-198.355475,0.47478173828125,3.1720361328125,1557.0028782894738,1026.4764975390328,3157.5454,39.24531,501.10526315789474,240000,2326.73125,968.2722069060263,3143.1472,1016.84534,743.0333333333333
25,244999,1391.484616279602,199.8929875,69.31315892382918,293.0879,-111.977516,199.9158375,69.30294943218506,288.07132,-120.07031,-202.5433,0.431309912109375,3.0724244140625,2140.003515625,953.6989741702217,3159.4827,840.71344,689.3333333333334,250000,1742.6571614583333,508.8423134921073,3115.1667,1138.4508,568.9
26,254999,1456.568555355072,202.69585,70.0771517686043,292.8616,-146.17984,202.714225,70.06994505492351,291.65094,-118.64355,-205.303375,0.406926806640625,3.059267578125,1571.739474826389,544.4798231135638,2609.859,911.40656,519.8888888888889,260000,1861.7446614583334,631.4522679242403,3096.2285,939.9465,597.8666666666667
27,264999,1520.9137523174286,205.1856625,70.26637318091777,293.15192,-113.78375,205.2027625,70.25334725121644,295.1878,-136.60983,-207.6998,0.38409794921875,3.009170703125,2927.8314985795455,226.45726317664122,3128.2058,2241.8892,973.6363636363636,270000,3000.844270833333,17.201121496262,3028.6956,2958.676,1000.0
28,274999,1576.672502040863,208.3528125,70.58316229810053,298.768,-166.15952,208.3717,70.56684207189663,295.0251,-97.99243,-210.9434,0.372770751953125,2.94372109375,2434.41796875,896.9695275388866,3150.3303,893.68036,788.9166666666666,280000,3162.2708333333335,17.14432360961639,3198.7437,3125.1643,1000.0
29,284999,1630.6076090335846,211.2927,71.21616951226737,293.07587,-100.22013,211.312025,71.20076684980296,293.42862,-133.68549,-213.69645,0.355759521484375,2.8502830078125,2476.976262019231,847.4075397714718,3171.9832,1170.7667,766.3076923076923,290000,2064.4002604166667,1037.1628287464478,3058.0393,866.00824,668.8666666666667
30,294999,1684.3261873722076,214.08025,72.07253568454492,296.1281,-117.55391,214.09805,72.05109575849627,296.21008,-130.78314,-216.443625,0.3291652099609375,2.7561951171875,2982.2933238636365,440.5729482472485,3165.9768,1593.644,950.0909090909091,300000,2674.844791666667,673.9722298927951,3227.4197,958.89825,878.0
31,304999,1737.939739704132,216.497625,72.81175729234943,297.00226,-82.88277,216.51365,72.7870015868218,296.9926,-95.30228,-218.9056,0.3141744140625,2.6816611328125,2499.4876802884614,904.0301645750204,3272.5151,1136.5487,763.6923076923077,310000,3242.2565104166665,23.033441353235013,3293.5525,3215.865,1000.0
32,314999,1791.426418542862,219.8392,73.08191294704868,302.86578,-175.9888,219.8533,73.06142894852249,302.5684,-108.15456,-222.241675,0.302204052734375,2.638527734375,3107.8029296875,551.2646369938852,3344.4421,1456.1118,941.6,320000,3245.365625,11.407481026606874,3266.4846,3225.346,1000.0
33,324999,1844.9143407344818,223.598775,73.50951503036869,308.30542,-111.78199,223.610825,73.48526110724517,307.16263,-97.12419,-225.9994,0.3022812744140625,2.6112474609375,3322.11171875,37.4024669139617,3386.26,3249.7856,1000.0,330000,3375.4921875,12.500276038618775,3404.9456,3349.7686,1000.0
34,334999,1898.509485244751,227.274425,74.01010201317115,311.06635,-95.92295,227.285625,73.99090214343923,311.3829,-88.95815,-229.704825,0.3160071533203125,2.6105625,2939.158203125,997.7563162750045,3454.537,272.03714,868.5833333333334,340000,3381.1575520833335,4.4584735788883885,3389.2576,3373.6077,1000.0
35,344999,1951.8433165550232,231.139325,74.92879286362486,313.31732,-132.89095,231.148575,74.91297083950148,314.04938,-87.67624,-233.4959,0.312570068359375,2.616784765625,3308.44921875,39.320145321768585,3382.7798,3266.982,1000.0,350000,3293.9666666666667,4.825261885366409,3301.2153,3281.399,1000.0
