Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,1249,23.90615749359131,-0.07414901647880805,0.18752570239544064,0.30458796,-1.4248071,0.003119577113106501,0.09739780349670361,-20.3,0.7810249920117619,-19.0,-21.0,932.6,10000,-21.0,0.0,-21.0,-21.0,745.6
2,3749,60.48944854736328,-0.1385703369140625,0.3153307047674562,0.6738874,-1.3708726,0.0006047199249267578,0.06783428955078125,-20.1,0.8306624207344756,-19.0,-21.0,956.9,20000,-19.8,0.5999999920527139,-19.0,-21.0,948.6
3,6249,97.0691888332367,-0.12703375244140624,0.3906754811131212,1.0828323,-1.585643,0.00048753981590270997,0.07547674560546876,-20.25,1.0103629710818451,-18.0,-21.0,920.9166666666666,30000,-20.6,0.4898979339565388,-20.0,-21.0,832.4
4,8749,132.7990791797638,-0.18480535888671876,0.4307425541425165,1.2119927,-1.450178,0.0004493349075317383,0.07580535278320312,-20.2,0.748331502842806,-19.0,-21.0,918.3,40000,-20.5,0.5,-20.0,-21.0,794.4
5,11249,168.80783534049988,-0.17635281982421874,0.4075402437710523,1.250626,-1.2679262,0.000528692626953125,0.08360494384765625,-20.454545454545453,0.7820296125643419,-19.0,-21.0,919.8181818181819,50000,-20.4,0.4898979339565388,-20.0,-21.0,846.4
6,13749,207.79091119766235,-0.16201080322265626,0.36948888168848365,1.4739141,-1.591037,0.00047522850036621093,0.08218735961914063,-20.272727272727273,0.7496555288679834,-19.0,-21.0,910.7272727272727,60000,-18.3,0.8999999682108556,-17.0,-20.0,1360.9
7,16249,246.57454705238342,-0.150054052734375,0.38456786637426726,1.7409532,-1.6174482,0.00044297051429748535,0.07874029541015624,-19.7,0.7810249920117619,-18.0,-21.0,1023.2,70000,-18.7,1.5524175433438763,-16.0,-21.0,1502.0
8,18749,287.06151008605957,-0.14563094482421876,0.4012534529397769,1.7861261,-1.54576,0.0004529242038726807,0.07804276733398438,-20.0,0.9534625892455924,-18.0,-21.0,950.6363636363636,80000,-16.6,2.615339395296123,-11.0,-21.0,1824.8
9,21249,326.03079867362976,-0.14548131103515624,0.44672590935151446,1.854411,-1.4773374,0.0005012362003326416,0.083008251953125,-20.4,0.6633250012026224,-19.0,-21.0,951.3,90000,-19.4,0.800000035762786,-18.0,-20.0,1402.4
10,23749,366.6802339553833,-0.08029188842773438,0.43986986489969393,1.7887167,-1.3984015,0.0004762874126434326,0.08076686401367188,-19.6,0.9165151702074871,-18.0,-21.0,1004.8,100000,-16.8,1.600000071525572,-14.0,-19.0,1970.0
